Sample_Name,alginate,alpha-galactan,alpha-glucan,alpha-mannan,alpha-rhamnoside,arabinan,arabinogalactan,arabinogalactanprotein,beta-fucosides,beta-galactan,beta-glucan,beta-glucuronan,beta-mannan,carrageenan,cellulose,chitin,chitosan,fructan,fucose,galactomannan,glucomannan,glycogen,hostglycan,humanmilkpolysaccharide,pectin,peptidoglycan,polyphenol,rhamnose,sialicacid,starch,sucrose,ulvan,xanthan,xylan,xyloglucan
OA01A,0,2.583,6.729,11.901,0,79.32,0,21.209,14.025,20.562,161.282,16.939,44.248,0,6.317,12.39,0,18.02,0,0,0,6.317,210.614,9.807,109.627,12.39,0,6.913,0,48.069,79.472,0,0,184.33,38.221
OA01B,0,4.998,10.973,16.299,4.887,100.754,0,52.653,14.937,15.565,214.18,7.549,27.11,0,8.14,13.957,0,28.108,0,0,0,11.485,319.23,4.02,118.774,13.957,0,6.53,0,120.187,162.631,0,0,288.174,49.763
OA01C,0,1.994,2.657,10.718,0,92.02,0,16.242,2.683,20.965,74.492,18.37,19.809,0,2.053,2.336,0,22.398,0,0,0,2.053,173.349,8.279,32.736,2.336,0,2.649,0,74.121,134.736,0,0,99.544,17.299
OA04A,0,15.666,6.435,15.252,2.839,35.296,5.16,28.767,3.132,25.457,126.46,0,44.852,0,1.725,2.526,0,10.982,0,5.16,1.725,34.875,241.289,6.941,36.882,2.526,0,6.523,4.003,137.016,165.757,0,0,170.984,28.447
OA04B,2.584,13.177,23.279,49.439,0,100.972,23.086,36.719,13.295,64.081,314.03,2.775,65.8,0,2.647,10.254,0,38.871,0,23.086,1.245,36.231,457.913,4.166,112.28,8.852,0,26.757,2.726,117.178,131.273,0,0,413.605,51.447
OA04C,0,0.528,11.608,14.104,2.147,34.264,0,46.612,15.745,22.01,161.367,0,41.296,0,4.252,7.876,0,13.616,0,0,4.252,14.455,188.333,11.956,110.771,12.627,0,4.947,0,153.94,176.138,0,0,270.722,4.929
OA05A,0,0.995,1.234,22.299,70.502,15.793,1.197,2.61,5.607,4.598,110.105,0,2.33,0,0,12.629,0,63.111,0,1.197,0,15.443,1430.735,0,42.034,6.6,0,80.442,0,64.64,109.487,0,0,231.011,2.431
OA05B,0,0,22.604,29.431,9.649,51.413,0,48.047,5.126,31.17,245.304,6.829,54.613,0,3.822,23.865,0,3.033,0,0,0,27.468,291.324,0,52.931,17.378,0,21.098,0,67.541,139.523,0,0,239.004,22.367
OA05C,0.7,0,11.785,13.868,11.624,40.537,13.156,13.467,3.711,30.974,143.846,1.015,14.496,0,5.348,63.272,0,1.308,0,13.156,0,40.885,249.519,0,46.883,81.875,0,25.911,1.2,117.905,154.766,15.487,0,181.393,27.737
OA06A,0,41.004,40.506,103.553,3.548,107.672,20.431,63.753,15.325,149.641,370.575,20.335,127.671,0,10.2,39.214,0,69.894,2.99,20.431,1.014,20.288,1101.978,7.014,312.149,39.214,0,2.982,4.697,74.159,232.192,0,0,490.517,64.605
OA06B,0,35.928,39.825,63.75,12.163,123.726,18.26,59.511,49.178,96.026,386.803,17.693,126.481,0,8.114,46.119,0,65.574,1.822,18.26,0,19.209,914.357,15.495,417.057,49.484,0,14.192,8.287,58.627,201.852,0,0,573.048,62.719
OA06C,0,44.038,27,53.002,5.149,117.634,7.07,43.069,25.964,119.511,292.187,14.353,94.603,0,9.536,46.246,0,51.471,3.843,7.07,0,18.518,863.617,7.65,364.086,51.789,0,7.509,6.84,148.497,181.669,0,0,461.177,37.893
OA08A,3.877,15.175,57.804,66.604,3.872,79.793,34.534,19.439,17.152,49.37,389.969,2.821,114.136,0,9.988,45.822,0,28.466,0,34.534,0,38.098,654.575,10.396,210.437,45.822,0,11.712,0,66.768,150.92,0,0,417.628,95.149
OA08B,3.351,11.14,34.087,45.257,2.515,104.241,20.487,25.333,36.617,37.216,285.544,2.435,95.423,0,20.555,47.863,0,25.348,0,20.487,0,23.732,549.68,25.985,225.585,47.863,0,5.741,0,112.491,139.16,0,0,416.322,56.885
OA08C,0,10.054,41.426,60.487,4.099,90.204,28.707,24.06,30.64,45.805,353.108,3.318,121.476,0.971,25.781,40.341,0,22.429,0,28.707,0,30.856,508.47,27.182,201.262,40.341,0,9.995,0,112.028,143.4,0,0,435.367,71.989
OA09A,9.396,30.397,3.435,13.526,5.065,82.288,4.504,17.961,6.861,12.9,150.801,0.629,33.993,0,1.049,8.801,0,4.904,0,4.504,0,76.718,223.567,7.796,46.934,8.801,0,6.962,0,308.894,265.333,0,0,387.932,4.504
OA09B,6.18,0,9.02,40.646,5.746,74.544,8.797,18.013,0,42.824,155.24,0.946,22.297,0,0.933,3.603,0,12.879,0,8.797,0,22.049,311.548,6.139,79.037,3.603,0,9.139,0,161.714,170.773,0,0,246.218,8.797
OA09C,21.281,17.403,5.956,48.447,2.419,77.407,6.202,24.458,0,82.672,211.767,1.056,49.525,0,24.656,19.388,0,8.154,0,6.202,0,33.432,590.762,6.87,124.312,19.388,0,5.378,0,208.389,257.989,0,0,365.004,11.773
OA10A,0,0.78,4.375,2.008,9.596,51.198,0,2.353,0,11.624,52.268,0.874,11.341,0,3.973,13.507,0,0,0,0,1.009,27.898,242.842,1.49,11.418,27.473,0,15.27,0,222.912,316.421,0,0,155.283,8.744
OA10B,0,0,5.537,14.332,5.157,29.248,0,2.773,1.287,24.052,44.668,0,5.644,0,1.522,24.534,0,0.946,0,0,1.522,49.626,413.691,0.738,33.039,39.346,0,11.34,0,280.287,356.48,0,0,160.785,3.285
OA10C,0,1.066,3.681,9.334,6.322,30.487,0,2.553,0,46.756,124.017,0,3.736,0,14.35,9.941,0,6.229,0,0,14.35,6.797,227.343,8.106,14.89,16.624,0,3.231,0,53.129,175.227,0,0,114.188,3.389
OA12A,0,3.939,5.713,23.739,0,26.42,0,20.593,13.697,15.509,102.076,5.556,30.581,0,5.577,7.046,0,6.814,0,0,3.063,20.172,285.672,6.324,56.221,6.196,0,6.082,0,104.034,139.312,0,0,145.103,7.667
OA12B,1.037,3.618,3.441,15.511,0,15.483,2.231,9.629,33.019,23.196,137.578,3.779,35.783,0,5.266,12.689,0,6.244,0,2.231,2.638,18.753,280.512,3.44,66.286,11.649,0,11.585,0,88.566,72.297,0,0,233.823,10.687
OA12C,0.548,2.264,7.643,11.453,0,23.913,0,26.917,21.29,19.629,174.12,8.39,45.883,0,7.371,5.098,0,24.985,0,0,5.68,22.63,214.152,8.224,62.657,4.262,0.837,6.45,0.843,93.767,95.691,0,0,230.899,14.828
OA13A,0.578,13.406,16.088,6.292,12.379,26.716,1.71,12.411,0,19.615,103.062,6.131,38.798,0,16.224,10.113,0,17.872,0,1.71,6.298,9.064,200.021,6.587,30.021,22.318,0,12.395,0,64.147,94.711,0,0,187.267,21.05
OA13B,0,12.724,9.963,6.868,7.076,28.768,2.704,8.895,0,20.907,84.83,11.021,40.258,0,8.97,11.863,0,19.22,0,2.704,4.044,23.003,269.142,8.726,31.249,21.757,0,19.943,0,98.602,134.368,0,0,179.98,41.707
OA13C,0,22.32,7.546,6.271,4.425,33.467,1.478,16.625,0,17.192,101.693,4.702,42.051,0,12.856,13.864,0,18.274,0,1.478,4.961,13.116,287.136,11.684,19.766,14.353,0,4,0,106.416,131.823,0,0,173.709,53.209
OA19A,0,0.704,6.103,1.176,0,21.403,0,1.108,0,7.17,104.898,1.405,13.806,0,7.64,2.665,0,0.834,0,0,0,2.425,64.225,13.203,3.988,2.665,0,1.019,0,56.327,59.157,0,0,115,1.616
OA19B,0.884,2.321,10.412,6.088,0,14.638,4.352,2.398,0,24.924,75.977,2.629,52.274,0.762,6.068,10.364,0,17.493,0,4.352,0,8.571,144.229,3.48,44.046,11.657,0,6.248,0,98.903,85.578,0,0,230.58,21.364
OA19C,0,3.431,7.729,7.915,0,12.041,3.959,2.955,0.61,31.921,169.295,4.667,40.314,0,10.693,16.366,0,12.457,0,3.959,0,0,152.35,5.067,44.761,16.471,0,10.532,0,76.551,50.119,0,0,300.678,8.698
OA20A,2.512,4.892,14.88,43.639,0.596,55.069,0,56.755,17.463,32.336,244.066,7.97,61.603,0,1.719,23.087,0,21.178,0,0,0,27.081,385.497,4.703,139.608,23.087,0,10.406,3.96,132.609,168.928,0,5.742,255.848,38.847
OA20B,0,4.821,14.166,32.336,0.591,57.605,0.838,23.923,26.93,48.424,214.668,1.021,68.679,0,3.346,30.526,0,20.771,0,0.838,0,25.583,536.364,5.422,195.475,30.526,0,11.213,0,95.347,151.571,0,0,289.292,37.702
OA20C,0,0,1.222,0,0,24.948,0,11.29,0,34.969,151.972,9.88,19.365,0,7.654,47.751,0,6.943,0,0,0,39.208,43.134,3.132,4.428,39.706,0,4.318,0,188.549,190.883,0,1.961,241.518,21.2
OA22A,0,25.057,1.186,0,0.91,49.416,1.139,62.408,0,20.99,138.096,6.954,33.526,0,17.755,18.501,0,40.375,0,1.139,0,0,57.786,15.212,1.972,17.729,0,3.134,3.932,130.619,169.584,0,0,165.458,17.749
OA22B,0,18.597,3.228,2.637,1.047,29.007,1.097,43.058,2.863,31.088,170.28,4.15,94.537,0,25.026,2.537,0,51.664,0,1.097,0,17.089,173.719,4.512,28.724,2.537,0,2.731,2.507,143.025,165.826,0,0,229.067,24.922
OA23A,0,3.853,6.522,27.038,3.079,60.927,6.407,13.886,0,86.727,196.329,16.078,63.88,0,11.307,6.142,0,29.821,0,6.407,1.806,23.061,524.088,2.951,248.746,5.027,0,22.706,0.963,67.562,54.879,0,0,324.852,7.758
OA23B,0,2.607,11.871,27.055,0.924,104.163,17.469,15.382,0,158.836,347.55,34.905,88.355,0,6.345,5.949,0,48.652,0,17.469,0,21.941,831.119,0,303.786,4.806,0,23.393,1.011,73.791,129.808,0,0,372.059,17.469
OA23C,0,5.135,20.03,14.995,0.903,25.85,0,4.952,2.283,80.322,181.249,4.02,35.218,0,9.158,14.876,0,26.315,0,0,0,37.258,298.085,5.681,78.859,14.797,0,19.849,4.986,125.729,123.82,0,2.706,210.351,7.766
OA24A,0,0.778,5.498,0.695,1.299,8.768,0,0.902,0,40.834,156.309,2.988,61.652,0,34.605,13.791,0,13.719,0,0,0,23.91,154.126,17.504,29.945,17.69,0,5.292,8.616,109.527,129.681,0,1.849,207.099,8.911
OA24B,0,2.368,52.019,2.425,0.986,16.865,0,4.67,0.489,21.818,203.629,2.603,64.898,0,22.592,7.642,0,85.914,0,0,0,2.481,129.331,6.851,115.316,14.186,0,5.194,0,220.434,156.822,0,0.999,306.58,4.401
OA24C,0,2.298,21.021,7.819,3.067,7.16,0,5.563,0,25.647,192.708,9.516,28.777,0,19.649,2.114,0,40.561,0,0,0,1.439,139.323,3.591,59.283,2.114,0,6.351,3.531,177.107,116.297,0,1.808,234.404,18.04
OA25A,0,0,70.875,15.539,0,26.266,2.464,15.43,10.858,14.786,294.298,37.036,96.884,0,19.302,7.969,0,9.522,0,2.464,0,23.34,332.537,10.345,154.066,8.983,0,10.775,2.67,140.062,125,0,0,384.509,10.876
OA25B,0,5.425,17.818,14.193,1.206,36.149,14.79,12.839,9.79,24.363,145.022,17.384,36.679,0,16.924,10.181,0,7.809,0,14.79,0,19.935,237.688,13.345,101.839,10.181,0,12.915,0,82.699,198.079,0,0,168.586,19.733
OA25C,0,1.785,57.452,32.175,0,59.174,3.439,31.122,17.402,24.426,301.384,4.341,71.049,0,8.005,20.964,0,17.809,0,3.439,0,25.189,506.515,6.297,190.076,20.964,0,21.704,0,70.979,159.944,0,0,360.869,32.346
OA26A,0,1.397,6.338,10.633,1.79,31.371,17.264,28.356,0,9.5,104.555,0,55.934,0,4.053,27.078,0,45.373,0,17.264,0,12.872,241.552,3.335,95.451,31.147,0,20.291,5.504,97.068,56.206,0,0,336.647,17.939
OA26B,0,1.937,19.458,21.11,0,22.739,13.447,45.098,0,89.459,183.322,0.819,43.696,0,1.962,5.612,0,19.613,0,13.447,0,7.449,290.755,2.142,44.176,4.497,0,18.578,0,92.989,130.284,0,0,250.336,28.259
OA26C,0,1.863,0,21.753,0.893,26.465,7.064,23.605,0,11.655,100.517,1.703,45.419,0,17.258,15.363,0,10.204,0,7.064,0,12.585,164.411,14.664,48.88,15.363,0,5.522,7.593,88.44,83.493,0,0,195.437,22.212
OA28A,0,0,15.66,39.014,0.736,33.043,15.332,38.841,3.957,31.472,208.169,21.203,76.975,0,7.831,6.193,0,20.535,0,15.332,0,15.852,290.202,7.504,73.944,6.193,0,1.497,7.389,137.081,149.79,0,0,233.595,55.314
OA28B,0,1.196,19.58,53.421,1.334,51.95,19.967,39.078,7.837,39.518,234.614,13.186,77.103,0,7.675,11.988,0,31.18,0,19.967,0,46.222,360.046,5.305,108.753,11.988,0,3.747,0,164.44,239.228,0,0,312.375,58.07
OA28C,20.061,27.072,25.541,67.169,0,53.172,17.997,35.513,12.769,48.248,281.733,19.367,49.433,0,0.929,11.699,0,46.47,0,17.997,0,21.208,639.245,11.526,199.788,11.699,0,1.306,3.662,74.804,166.484,0,0,373.221,49.371
OA29A,0,0.705,7.789,9.99,0,17.664,9.07,15.511,0.84,29.244,134.997,25.942,10.706,0,0,5.781,0,14.405,0,9.07,0,82.721,130.741,3.121,15.952,4.815,0,0,0,133.568,249.694,0,0,112.741,21.835
OA29B,8.816,0.681,9.015,28.017,0,51.654,8.763,22.08,7.989,25.691,149.581,19.833,57.23,0,2.008,25.513,0,16.671,0,8.763,0,0.777,260.414,10.685,187.945,25.513,0,0.811,0,79.856,161.032,0,0,347.512,16.568
OA29C,5.968,4.702,27.196,40.276,0,16.421,28.439,14.98,3.225,52.548,262.62,9.338,16.329,0,0,2.656,0,5.703,0,28.439,0,15.711,380.572,14.404,63.392,3.443,0,7.559,6.099,62.646,173.403,0,0,250.062,37.68
OA30A,6.172,0,7.61,4.276,1.114,20.224,0,0.991,2.635,53.506,119.674,5.062,56.444,0,6.273,5.982,0,6.934,0,0,0,11.052,120.965,6.799,47.864,7.615,0,9.409,5.513,101.548,155.988,0,0,210.965,15.91
OA30B,2.732,0,30.76,11.4,5.145,55.276,11.483,13.079,3.369,40.391,211.882,2.154,61.439,0,1.58,4.164,0,28.094,0,11.483,0,16.466,281.67,6.961,68.76,4.164,0,5.145,0,105.826,121.481,0,0,280.672,24.047
OA30C,0,0,18.201,3.674,0,17.796,0,0,2.777,64.592,134.359,5.923,49.465,0,1.21,2.033,0,6.992,0,0,0,22.628,137.571,3.621,32.455,5.017,0,6.474,0,72.651,123.19,0,0,205.781,2.824
OA33A,8.183,0,17.214,20.246,0,69.727,18.652,51.723,8.527,51.616,172.576,0.905,59.057,0,12.828,17.302,0,21.085,0,18.652,0,13.829,330.401,5.37,80.059,36.794,0,9.194,0,141.834,164.245,0,0,300.982,19.838
OA33B,3.929,6.058,6.958,13.033,0,32.801,7.033,36.74,4.471,46.038,108.492,1.606,88.188,0,18.577,9.97,0,20.008,0,7.033,0,25.247,126.36,4.944,50.065,3.891,0,10.84,0,218.252,168.016,0,0,238.359,26.595
OA33C,1.439,1.471,5.996,5.869,6.585,43.571,5.43,51.477,1.569,46.896,126.403,0,100.336,0,43.717,9.192,0,17.033,0,5.43,0,18.572,124,3.643,14.788,1.337,0,7.277,0,153.282,184.307,0,0,239.573,50.722
OA34A,0,4.642,20.982,18.661,0,119.817,5.943,35.268,49.752,74.389,163.254,13.081,75.606,0,12.196,41.297,0,8.054,0,5.943,0,14.168,507.395,7.768,292.395,39.561,0,9.426,0,38.562,61.295,0,0,360.558,26.988
OA34B,0,1.269,2.775,26.957,0,20.088,0,11.309,11.661,42.955,79.879,5.431,53.274,0,4.417,0,0,5.379,0,0,0,10.6,279.624,12.038,71.576,1.939,0,3.326,1.469,64.309,103.199,0,0,99.439,51.877
OA34C,0,8.23,16.924,59.824,3.596,21.843,0.968,24.149,10.267,58.174,107.855,10.912,64.073,0,1.6,24.027,0,14.267,0,0.968,0,24.008,558.181,6.887,64.785,22.427,0,8.427,9.416,134.96,179.413,0,0,179.366,15.033
OA35A,0,1.195,0,0.688,0,129.824,0,27.03,0,162.109,319.45,1.108,53.888,0,24.188,28.59,0,18.05,0,0,0,29.319,112.095,16.891,2.563,0,0,10.911,27.39,431.438,266.41,0,0,425.11,16.355
OA35B,0,1.043,10.446,13.529,0,53.914,0,17.093,19.772,21.327,161.982,2.274,59.445,0,61.891,52.297,8.003,11.667,0,0,0,28.628,211.994,17.609,135.224,26.903,0,7.135,4.895,119.268,107.634,0,0,277.727,23.923
OA35C,0.46,0.82,2.701,5.263,0,78.052,0,19.973,8.77,12.153,109.586,2.484,86.319,0,56.967,61.72,0,5.963,0,0,0,31.746,79.148,20.794,50.647,17.651,0,7.441,6.209,202.008,133.238,0,0,269.043,16.916
OA36A,0,15.749,14.896,13.562,3.664,49.331,5.243,32.746,5.102,42.85,127.332,7.154,34.826,0,12.949,6.579,0,32.412,0,5.243,9.62,7.758,194.172,20.688,59.643,6.579,0,29.107,3.606,53.007,83.266,0,0,205.104,29.753
OA36B,0,8.633,57.17,62.88,1.149,130.98,6.893,115.163,52.039,219.21,459.235,4.239,36.469,0,3.824,14.371,0,61.677,0,6.893,0,6.022,686.714,27.287,349.531,14.371,0,17.201,1.854,48.761,163.342,0,0,770.276,62.861
OA36C,0,0,0,0,6.956,1.24,0,13.869,0,25.075,90.807,5.319,0.753,0,18.196,2.637,0,21.954,0,0,18.196,22.701,75.016,9.245,1.547,5.76,0,13.132,0.792,61.082,133.794,0,0,80.112,22.95
OA37A,0,8.937,11.116,21.003,0,47.497,9.102,40.077,3.19,40.033,152.1,8.937,65.579,0,0,39.537,0,12.431,0,9.102,0,4.152,408.417,5.32,206.159,42.644,0,2.01,0,58.174,81.311,0,0,377.21,19.055
OA37B,0,0.672,4.827,8.811,0,33.09,5.779,31.451,0.759,32.36,151.803,0,69.001,0,0,29.789,0,26.312,0,5.779,0,0,291.246,5.08,160.828,29.789,0,2.028,0,35.469,59.206,0,0,333.379,20.038
OA37C,0,8.273,26.138,13.433,0,35.142,19.892,29.684,3.053,22.955,203.862,5.21,76.654,0,0,17.179,0,22.52,0,19.892,0,3.05,390.605,7.819,87.769,12.481,0,0,0,28.345,105.633,0,0,301.418,41.083
OA39A,3.16,3.072,36.137,46.483,0,81.27,31.224,37.389,7.252,66.191,360.757,3.611,101.139,0,3.562,43.655,0,6.838,0,31.224,0,19.899,662.208,9.56,199.38,43.655,0,4.483,8.326,74.075,152.299,0,0,426.917,41.135
OA39B,0.885,1.31,13.107,3.8,0,33.516,0,70.327,4.008,33.147,199.316,2.387,82.21,0,1.943,10.753,0,25.692,0,0,0,0,217.979,8.592,72.423,10.079,0,0,1.181,54.62,57.862,0,0,292.887,32.545
OA39C,0.949,4.934,27.027,38.877,9.356,57.503,18.176,55.122,6.678,69.496,246.075,4.046,89.683,0,3.345,28.119,0,23.246,0,18.176,0,8.009,459.481,7.41,162.193,28.119,0,11.958,1.623,86.575,125.859,0,0,367.762,40.894
OA40A,0,6.075,4.111,17.386,1.494,37.914,0,29.942,9.456,39.571,215.146,1.232,63.389,0,4.712,2.371,0,33.981,0,0,4.712,15.043,163.078,14.972,47.319,2.371,0,10.13,0,135.796,139.82,0,0,160.227,32.728
OA40B,0,0,7.436,5.28,0,31.518,0,35.756,6.612,26.038,136.748,9.134,61.367,0,5.315,3.953,0,23.132,0,0,2.077,37.516,117.119,13.8,66.266,3.953,0,9.147,0,124.472,140.283,0,0,200.092,30.905
OA42A,3.078,5.001,35.719,48.343,8.07,73.624,30.935,44.51,15.733,58.439,305.609,5.963,74.444,0,15.725,15.012,0,45.165,0,30.935,0,14.795,559.768,14.303,130.994,11.973,0,10.083,5.018,56.52,95.063,0,0,360.033,54.861
OA42B,2.682,10.181,40.924,25.707,24.572,33.13,13.759,32.264,19.303,42.704,249.236,19.174,72.463,0,7.736,14.974,0,28.079,0,13.759,0,24.572,461.618,4.534,125.693,13.401,0,27.857,2.119,90.554,153.989,0,0,354.058,41.121
OA44A,2.923,10.548,11.399,21.148,0,19.302,0,19.679,6.143,42.888,88.942,0,36.23,0,2.683,8.742,0,23.84,0,0,0,63.88,279.511,0.806,59.48,6.059,0,2.613,0,226.685,268.211,0,0,208.179,18.791
OA44C,0,33.527,0,0.654,1.217,49.709,0.503,4.467,0,89.814,100.559,0,56.779,0,0,36.858,0,0,0,0.503,0,2.968,745.564,0,23.259,38.155,0,0,0,184.302,135.184,0,0,262.327,0.503
OA45A,0,0.569,3.628,5.42,0,14.965,3.349,19.479,0,47.28,159.033,0,62.469,0,19.737,13.195,0,6.559,0,3.349,0,65.775,109.522,6.94,27.585,28.528,0,2.602,0,94.967,110.571,0,0,127.915,27.22
OA45B,0,17.96,3.424,1.027,0,27.97,0,38.129,0,43.232,179.754,0,40.703,0,33.032,21.636,0,1,0,0,0,76.105,112.601,1.505,35.81,65.08,0,3.384,0,150.544,183.712,0,0,92.425,4.516
OA50A,0,0,1.111,2.832,2.313,51.625,0,21.739,0,9.163,118.421,4.071,19.096,0,10.827,10.528,0,1.053,0,0,0,10.633,238.806,13.979,8.04,16.446,0,25.169,0,97.564,199.792,0,0,164.152,3.33
OA50B,0.545,0,31.594,49.52,34.204,34.706,6.267,16.227,0,29.204,160.134,0,22.939,0,6.114,6.899,0,0.636,0,6.267,0,37.276,372.588,8.775,16.566,10.108,0,35.107,0,148.889,304.345,0,0,107.469,18.057
