name,type,annotation_Phylum,annotation_Genus,name editied,Prebiotic-responsive ,Trunk Fat % associated ,Lean Mass associated ,Hand Grip associated
s__Acidaminococcus_intestini,Microbiome,Firmicutes,Acidaminococcus,Acidaminococcus intestini HG (+),,,, HG (+)
s__Actinomyces_bouchesdurhonensis,Microbiome,Actinobacteria,Actinomyces,Actinomyces bouchesdurhonensis LM (+) HG (+),,, LM (+), HG (+)
s__Actinomyces_graevenitzii,Microbiome,Actinobacteria,Actinomyces,Actinomyces graevenitzii,,,,
s__Agathobaculum_butyriciproducens,Microbiome,Firmicutes,Agathobaculum,Agathobaculum butyriciproducens TF (+),, TF (+),,
s__Akkermansia_muciniphila,Microbiome,Verrucomicrobia,Akkermansia,Akkermansia muciniphila LM (-) HG (-),,, LM (-), HG (-)
s__Akkermansia_sp_KLE1798,Microbiome,Verrucomicrobia,Akkermansia,Akkermansia sp KLE1798,,,,
s__Alistipes_ihumii,Microbiome,Bacteroidota,Alistipes,Alistipes ihumii,,,,
s__Alistipes_onderdonkii,Microbiome,Bacteroidota,Alistipes,Alistipes onderdonkii,,,,
s__Alistipes_putredinis,Microbiome,Bacteroidota,Alistipes,Alistipes putredinis TF (-) HG (+),, TF (-),, HG (+)
s__Alistipes_timonensis,Microbiome,Bacteroidota,Alistipes,Alistipes timonensis Pre (+), Pre (+),,,
s__Allisonella_histaminiformans,Microbiome,Firmicutes,Allisonella,Allisonella histaminiformans,,,,
s__Alloscardovia_omnicolens,Microbiome,Actinobacteria,Alloscardovia,Alloscardovia omnicolens,,,,
s__Amedibacterium_intestinale,Microbiome,Firmicutes,Amedibacterium,Amedibacterium intestinale,,,,
s__Anaeromassilibacillus_senegalensis,Microbiome,Firmicutes,Anaeromassilibacillus,Anaeromassilibacillus senegalensis,,,,
s__Anaerosacchariphilus_sp_NSJ_68,Microbiome,Firmicutes,Anaerosacchariphilus,Anaerosacchariphilus sp NSJ 68 LM (+),,, LM (+),
s__Anaerotignum_faecicola,Microbiome,Firmicutes,Anaerotignum,Anaerotignum faecicola LM (+),,, LM (+),
s__Anaerotignum_sp_MSJ_24,Microbiome,Firmicutes,Anaerotignum,Anaerotignum sp MSJ 24 LM (+),,, LM (+),
s__Anaerotruncus_massiliensis,Microbiome,Firmicutes,Anaerotruncus,Anaerotruncus massiliensis TF (-) LM (-),, TF (-), LM (-),
s__Anaerotruncus_rubiinfantis,Microbiome,Firmicutes,Anaerotruncus,Anaerotruncus rubiinfantis TF (-) LM (-),, TF (-), LM (-),
s__Arachnia_SGB15898,Microbiome,Actinobacteria,Arachnia,Arachnia SGB15898,,,,
s__bacterium_210820_DFI_6_37,Microbiome,Bacteria_unclassified,Bacteria_unclassified,bacterium 210820 DFI 6 37 TF (-),, TF (-),,
s__bacterium_210917_DFI_7_65,Microbiome,Bacteria_unclassified,Bacteria_unclassified,bacterium 210917 DFI 7 65 TF (+),, TF (+),,
s__bacterium_OL_1,Microbiome,Bacteria_unclassified,Bacteria_unclassified,bacterium OL 1,,,,
s__Bacteroides_cellulosilyticus,Microbiome,Bacteroidota,Bacteroides,Bacteroides cellulosilyticus,,,,
s__Bacteroides_congonensis,Microbiome,Bacteroidota,Bacteroides,Bacteroides congonensis,,,,
s__Bacteroides_faecis,Microbiome,Bacteroidota,Bacteroides,Bacteroides faecis,,,,
s__Bacteroides_finegoldii,Microbiome,Bacteroidota,Bacteroides,Bacteroides finegoldii Pre (+), Pre (+),,,
s__Bacteroides_fragilis,Microbiome,Bacteroidota,Bacteroides,Bacteroides fragilis,,,,
s__Bacteroides_nordii,Microbiome,Bacteroidota,Bacteroides,Bacteroides nordii LM (+),,, LM (+),
s__Bacteroides_ovatus,Microbiome,Bacteroidota,Bacteroides,Bacteroides ovatus,,,,
s__Bacteroides_rodentium,Microbiome,Bacteroidota,Bacteroides,Bacteroides rodentium TF (-),, TF (-),,
s__Bacteroides_thetaiotaomicron,Microbiome,Bacteroidota,Bacteroides,Bacteroides thetaiotaomicron TF (-) LM (+) HG (+),, TF (-), LM (+), HG (+)
s__Bianquea_SGB71281,Microbiome,Firmicutes,Bianquea,Bianquea SGB71281,,,,
s__Bifidobacterium_adolescentis,Microbiome,Actinobacteria,Bifidobacterium,Bifidobacterium adolescentis,,,,
s__Bifidobacterium_bifidum,Microbiome,Actinobacteria,Bifidobacterium,Bifidobacterium bifidum,,,,
s__Bifidobacterium_dentium,Microbiome,Actinobacteria,Bifidobacterium,Bifidobacterium dentium,,,,
s__Bifidobacterium_pseudocatenulatum,Microbiome,Actinobacteria,Bifidobacterium,Bifidobacterium pseudocatenulatum TF (-) HG (+),, TF (-),, HG (+)
s__Bilophila_wadsworthia,Microbiome,Proteobacteria,Bilophila,Bilophila wadsworthia,,,,
s__Blautia_argi,Microbiome,Firmicutes,Blautia,Blautia argi,,,,
s__Blautia_faecis,Microbiome,Firmicutes,Blautia,Blautia faecis TF (+),, TF (+),,
s__Blautia_hydrogenotrophica,Microbiome,Firmicutes,Blautia,Blautia hydrogenotrophica Pre (-) TF (+), Pre (-), TF (+),,
s__Blautia_schinkii,Microbiome,Firmicutes,Blautia,Blautia schinkii,,,,
s__Blautia_sp_An249,Microbiome,Firmicutes,Blautia,Blautia sp An249 LM (-),,, LM (-),
s__Blautia_sp_MCC283,Microbiome,Firmicutes,Blautia,Blautia sp MCC283,,,,
s__Blautia_stercoris,Microbiome,Firmicutes,Blautia,Blautia stercoris TF (-),, TF (-),,
s__Blautia_wexlerae,Microbiome,Firmicutes,Blautia,Blautia wexlerae,,,,
s__Butyricimonas_faecalis,Microbiome,Bacteroidota,Butyricimonas,Butyricimonas faecalis LM (+) HG (+),,, LM (+), HG (+)
s__Butyricimonas_faecihominis,Microbiome,Bacteroidota,Butyricimonas,Butyricimonas faecihominis,,,,
s__Butyricimonas_paravirosa,Microbiome,Bacteroidota,Butyricimonas,Butyricimonas paravirosa LM (+) HG (-),,, LM (+), HG (-)
s__Butyricimonas_virosa,Microbiome,Bacteroidota,Butyricimonas,Butyricimonas virosa,,,,
s__Candidatus_Gastranaerophilales_bacterium,Microbiome,Candidatus_Melainabacteria,Candidatus_Gastranaerophilales_unclassified,Candidatus Gastranaerophilales bacterium,,,,
s__Catenibacillus_scindens,Microbiome,Firmicutes,Catenibacillus,Catenibacillus scindens,,,,
s__Christensenella_minuta,Microbiome,Firmicutes,Christensenella,Christensenella minuta,,,,
s__Cloacibacillus_evryensis,Microbiome,Synergistetes,Cloacibacillus,Cloacibacillus evryensis,,,,
s__Clostridia_bacterium,Microbiome,Firmicutes,Clostridia_unclassified,Clostridia bacterium Pre (-), Pre (-),,,
s__Clostridia_bacterium_UC5_1_1E11,Microbiome,Firmicutes,Clostridia_unclassified,Clostridia bacterium UC5 1 1E11 Pre (-), Pre (-),,,
s__Clostridiaceae_bacterium_AF18_31LB,Microbiome,Firmicutes,Clostridiaceae_unclassified,Clostridiaceae bacterium AF18 31LB,,,,
s__Clostridiaceae_bacterium_Marseille_Q3526,Microbiome,Firmicutes,Clostridiaceae_unclassified,Clostridiaceae bacterium Marseille Q3526,,,,
s__Clostridiaceae_bacterium_Marseille_Q4143,Microbiome,Firmicutes,Clostridiaceae_unclassified,Clostridiaceae bacterium Marseille Q4143,,,,
s__Clostridiaceae_bacterium_Marseille_Q4145,Microbiome,Firmicutes,Clostridiaceae_unclassified,Clostridiaceae bacterium Marseille Q4145,,,,
s__Clostridiaceae_bacterium_Marseille_Q4149,Microbiome,Firmicutes,Clostridiaceae_unclassified,Clostridiaceae bacterium Marseille Q4149,,,,
s__Clostridiaceae_unclassified_SGB15090,Microbiome,Firmicutes,Clostridiaceae_unclassified,Clostridiaceae unclassified SGB15090 TF (-),, TF (-),,
s__Clostridiales_bacterium,Microbiome,Firmicutes,Eubacteriales_unclassified,Clostridiales bacterium LM (-) HG (-),,, LM (-), HG (-)
s__Clostridium_fessum,Microbiome,Firmicutes,Clostridium,Clostridium fessum LM (+) HG (+),,, LM (+), HG (+)
s__Clostridium_hylemonae,Microbiome,Firmicutes,Lachnoclostridium,Clostridium hylemonae,,,,
s__Clostridium_innocuum,Microbiome,Firmicutes,Erysipelatoclostridium,Clostridium innocuum,,,,
s__Clostridium_saccharogumia,Microbiome,Firmicutes,Erysipelatoclostridium,Clostridium saccharogumia,,,,
s__Clostridium_SGB4750,Microbiome,Firmicutes,Clostridium,Clostridium SGB4750 Pre (+) TF (-) LM (+) HG (+), Pre (+), TF (-), LM (+), HG (+)
s__Clostridium_SGB4751,Microbiome,Firmicutes,Clostridium,Clostridium SGB4751,,,,
s__Clostridium_SGB48024,Microbiome,Firmicutes,Clostridium,Clostridium SGB48024,,,,
s__Clostridium_SGB6173,Microbiome,Firmicutes,Clostridium,Clostridium SGB6173,,,,
s__Clostridium_sp_AM22_11AC,Microbiome,Firmicutes,Clostridium,Clostridium sp AM22 11AC,,,,
s__Clostridium_sp_AM29_11AC,Microbiome,Firmicutes,Clostridium,Clostridium sp AM29 11AC HG (+),,,, HG (+)
s__Clostridium_sp_AM42_4,Microbiome,Firmicutes,Clostridium,Clostridium sp AM42 4,,,,
s__Clostridium_sp_AM49_4BH,Microbiome,Firmicutes,Clostridium,Clostridium sp AM49 4BH,,,,
s__Clostridium_sp_AT4,Microbiome,Firmicutes,Clostridium,Clostridium sp AT4 TF (+),, TF (+),,
s__Clostridium_sp_Marseille_P3244,Microbiome,Firmicutes,Clostridium,Clostridium sp Marseille P3244 HG (-),,,, HG (-)
s__Clostridium_sp_NSJ_42,Microbiome,Firmicutes,Clostridium,Clostridium sp NSJ 42 LM (+),,, LM (+),
s__Clostridium_spiroforme,Microbiome,Firmicutes,Erysipelatoclostridium,Clostridium spiroforme LM (-),,, LM (-),
s__Collinsella_aerofaciens,Microbiome,Actinobacteria,Collinsella,Collinsella aerofaciens,,,,
s__Collinsella_stercoris,Microbiome,Actinobacteria,Collinsella,Collinsella stercoris,,,,
s__Collinsella_tanakaei,Microbiome,Actinobacteria,Collinsella,Collinsella tanakaei,,,,
s__Coprobacter_fastidiosus,Microbiome,Bacteroidota,Coprobacter,Coprobacter fastidiosus LM (-) HG (-),,, LM (-), HG (-)
s__Coprococcus_comes,Microbiome,Firmicutes,Coprococcus,Coprococcus comes,,,,
s__Desulfovibrio_desulfuricans,Microbiome,Proteobacteria,Desulfovibrio,Desulfovibrio desulfuricans,,,,
s__Desulfovibrio_fairfieldensis,Microbiome,Proteobacteria,Desulfovibrio,Desulfovibrio fairfieldensis,,,,
s__Dialister_hominis,Microbiome,Firmicutes,Dialister,Dialister hominis,,,,
s__Dorea_formicigenerans,Microbiome,Firmicutes,Dorea,Dorea formicigenerans LM (+) HG (+),,, LM (+), HG (+)
s__Dorea_phocaeensis,Microbiome,Firmicutes,Dorea,Dorea phocaeensis,,,,
s__Dorea_sp_AF36_15AT,Microbiome,Firmicutes,Dorea,Dorea sp AF36 15AT,,,,
s__Dysosmobacter_SGB15074,Microbiome,Firmicutes,Dysosmobacter,Dysosmobacter SGB15074 TF (-),, TF (-),,
s__Dysosmobacter_sp_Marseille_Q4140,Microbiome,Firmicutes,Dysosmobacter,Dysosmobacter sp Marseille Q4140,,,,
s__Eggerthella_lenta,Microbiome,Actinobacteria,Eggerthella,Eggerthella lenta LM (-),,, LM (-),
s__Ellagibacter_isourolithinifaciens,Microbiome,Actinobacteria,Ellagibacter,Ellagibacter isourolithinifaciens LM (+) HG (+),,, LM (+), HG (+)
s__Enorma_massiliensis,Microbiome,Actinobacteria,Enorma,Enorma massiliensis TF (-) LM (-),, TF (-), LM (-),
s__Enterocloster_asparagiformis,Microbiome,Firmicutes,Enterocloster,Enterocloster asparagiformis HG (+),,,, HG (+)
s__Enterocloster_bolteae,Microbiome,Firmicutes,Enterocloster,Enterocloster bolteae,,,,
s__Enterocloster_hominis,Microbiome,Firmicutes,Enterocloster,Enterocloster hominis,,,,
s__Erysipelatoclostridium_SGB66626,Microbiome,Firmicutes,Erysipelatoclostridium,Erysipelatoclostridium SGB66626,,,,
s__Erysipelotrichaceae_bacterium_LH1062,Microbiome,Firmicutes,Erysipelotrichaceae_unclassified,Erysipelotrichaceae bacterium LH1062,,,,
s__Eubacteriaceae_bacterium,Microbiome,Firmicutes,Eubacteriaceae_unclassified,Eubacteriaceae bacterium,,,,
s__Eubacteriaceae_bacterium_Marseille_Q4139,Microbiome,Firmicutes,Eubacteriaceae_unclassified,Eubacteriaceae bacterium Marseille Q4139,,,,
s__Eubacterium_ramulus,Microbiome,Firmicutes,Eubacterium,Eubacterium ramulus,,,,
s__Eubacterium_SGB4961,Microbiome,Firmicutes,Eubacterium,Eubacterium SGB4961,,,,
s__Eubacterium_siraeum,Microbiome,Firmicutes,Oscillospiraceae_unclassified,Eubacterium siraeum,,,,
s__Eubacterium_ventriosum,Microbiome,Firmicutes,Eubacterium,Eubacterium ventriosum LM (+),,, LM (+),
s__Faecalibacillus_faecis,Microbiome,Firmicutes,Faecalibacillus,Faecalibacillus faecis,,,,
s__Faecalibacterium_SGB15346,Microbiome,Firmicutes,Faecalibacterium,Faecalibacterium SGB15346,,,,
s__Faecalibacterium_sp_CLA_AA_H233,Microbiome,Firmicutes,Faecalibacterium,Faecalibacterium sp CLA AA H233 TF (+),, TF (+),,
s__Faecalicatena_fissicatena,Microbiome,Firmicutes,Faecalicatena,Faecalicatena fissicatena,,,,
s__Firmicutes_bacterium,Microbiome,Firmicutes,Firmicutes_unclassified,Firmicutes bacterium,,,,
s__Fusicatenibacter_saccharivorans,Microbiome,Firmicutes,Fusicatenibacter,Fusicatenibacter saccharivorans TF (+),, TF (+),,
s__Fusicatenibacter_sp_CLA_AA_H277,Microbiome,Firmicutes,Fusicatenibacter,Fusicatenibacter sp CLA AA H277,,,,
s__Fusobacterium_perfoetens,Microbiome,Fusobacteria,Fusobacterium,Fusobacterium perfoetens TF (+) LM (+),, TF (+), LM (+),
s__Gemmiger_SGB15295,Microbiome,Firmicutes,Gemmiger,Gemmiger SGB15295,,,,
s__GGB10692_SGB17347,Microbiome,Firmicutes,GGB10692,GGB10692 SGB17347 TF (-),, TF (-),,
s__GGB1266_SGB1699,Microbiome,Bacteroidota,GGB1266,GGB1266 SGB1699,,,,
s__GGB1331_SGB1788,Microbiome,Bacteroidota,GGB1331,GGB1331 SGB1788 HG (+),,,, HG (+)
s__GGB13404_SGB14252,Microbiome,Firmicutes,GGB13404,GGB13404 SGB14252,,,,
s__GGB13489_SGB15224,Microbiome,Firmicutes,GGB13489,GGB13489 SGB15224 TF (-),, TF (-),,
s__GGB1387_SGB1895,Microbiome,Bacteroidota,GGB1387,GGB1387 SGB1895 LM (+) HG (+),,, LM (+), HG (+)
s__GGB1492_SGB2067,Microbiome,Bacteroidota,GGB1492,GGB1492 SGB2067,,,,
s__GGB1689_SGB2321,Microbiome,Bacteroidota,GGB1689,GGB1689 SGB2321 TF (-),, TF (-),,
s__GGB2977_SGB3959,Microbiome,Firmicutes,GGB2977,GGB2977 SGB3959 LM (+),,, LM (+),
s__GGB2996_SGB3983,Microbiome,Firmicutes,GGB2996,GGB2996 SGB3983 LM (+) HG (+),,, LM (+), HG (+)
s__GGB3005_SGB3996,Microbiome,Firmicutes,GGB3005,GGB3005 SGB3996,,,,
s__GGB3033_SGB4029,Microbiome,Firmicutes,GGB3033,GGB3033 SGB4029,,,,
s__GGB30861_SGB44083,Microbiome,Actinobacteria,GGB30861,GGB30861 SGB44083 TF (-),, TF (-),,
s__GGB3109_SGB4119,Microbiome,Firmicutes,GGB3109,GGB3109 SGB4119,,,,
s__GGB3142_SGB4155,Microbiome,Firmicutes,GGB3142,GGB3142 SGB4155,,,,
s__GGB3175_SGB4191,Microbiome,Firmicutes,GGB3175,GGB3175 SGB4191 Pre (+), Pre (+),,,
s__GGB31790_SGB47293,Microbiome,Firmicutes,GGB31790,GGB31790 SGB47293 LM (+) HG (+),,, LM (+), HG (+)
s__GGB32387_SGB47381,Microbiome,Firmicutes,GGB32387,GGB32387 SGB47381,,,,
s__GGB3256_SGB4303,Microbiome,Firmicutes,GGB3256,GGB3256 SGB4303 Pre (+) LM (+) HG (+), Pre (+),, LM (+), HG (+)
s__GGB3277_SGB4327,Microbiome,Firmicutes,GGB3277,GGB3277 SGB4327,,,,
s__GGB32900_SGB53446,Microbiome,Firmicutes,GGB32900,GGB32900 SGB53446,,,,
s__GGB3321_SGB4394,Microbiome,Firmicutes,GGB3321,GGB3321 SGB4394,,,,
s__GGB33469_SGB15236,Microbiome,Firmicutes,GGB33469,GGB33469 SGB15236,,,,
s__GGB3352_SGB62935,Microbiome,Firmicutes,GGB3352,GGB3352 SGB62935 TF (-) LM (-),, TF (-), LM (-),
s__GGB33539_SGB53381,Microbiome,Firmicutes,GGB33539,GGB33539 SGB53381,,,,
s__GGB33544_SGB53490,Microbiome,Firmicutes,GGB33544,GGB33544 SGB53490 TF (-),, TF (-),,
s__GGB33586_SGB53517,Microbiome,Firmicutes,GGB33586,GGB33586 SGB53517 LM (-),,, LM (-),
s__GGB3363_SGB4448,Microbiome,Firmicutes,GGB3363,GGB3363 SGB4448,,,,
s__GGB33896_SGB14872,Microbiome,Firmicutes,GGB33896,GGB33896 SGB14872,,,,
s__GGB34228_SGB72916,Microbiome,Firmicutes,GGB34228,GGB34228 SGB72916,,,,
s__GGB34231_SGB47113,Microbiome,Firmicutes,GGB34231,GGB34231 SGB47113 TF (-),, TF (-),,
s__GGB3444_SGB4594,Microbiome,Firmicutes,GGB3444,GGB3444 SGB4594,,,,
s__GGB3449_SGB4601,Microbiome,Firmicutes,GGB3449,GGB3449 SGB4601,,,,
s__GGB34540_SGB54300,Microbiome,Firmicutes,GGB34540,GGB34540 SGB54300,,,,
s__GGB3475_SGB4638,Microbiome,Firmicutes,GGB3475,GGB3475 SGB4638,,,,
s__GGB34797_SGB14322,Microbiome,Actinobacteria,GGB34797,GGB34797 SGB14322,,,,
s__GGB3486_SGB4658,Microbiome,Firmicutes,GGB3486,GGB3486 SGB4658 Pre (+), Pre (+),,,
s__GGB3490_SGB4664,Microbiome,Firmicutes,GGB3490,GGB3490 SGB4664,,,,
s__GGB3491_SGB4665,Microbiome,Firmicutes,GGB3491,GGB3491 SGB4665,,,,
s__GGB3497_SGB4672,Microbiome,Firmicutes,GGB3497,GGB3497 SGB4672,,,,
s__GGB35068_SGB47850,Microbiome,Firmicutes,GGB35068,GGB35068 SGB47850,,,,
s__GGB3510_SGB4687,Microbiome,Firmicutes,GGB3510,GGB3510 SGB4687,,,,
s__GGB3511_SGB4688,Microbiome,Firmicutes,GGB3511,GGB3511 SGB4688,,,,
s__GGB3538_SGB4728,Microbiome,Firmicutes,GGB3538,GGB3538 SGB4728,,,,
s__GGB3548_SGB4744,Microbiome,Firmicutes,GGB3548,GGB3548 SGB4744,,,,
s__GGB3550_SGB4746,Microbiome,Firmicutes,GGB3550,GGB3550 SGB4746 LM (+),,, LM (+),
s__GGB3585_SGB4803,Microbiome,Firmicutes,GGB3585,GGB3585 SGB4803 LM (+) HG (+),,, LM (+), HG (+)
s__GGB3593_SGB4817,Microbiome,Firmicutes,GGB3593,GGB3593 SGB4817 LM (+) HG (+),,, LM (+), HG (+)
s__GGB3612_SGB4882,Microbiome,Firmicutes,GGB3612,GGB3612 SGB4882 LM (+),,, LM (+),
s__GGB3619_SGB4894,Microbiome,Firmicutes,GGB3619,GGB3619 SGB4894 LM (+),,, LM (+),
s__GGB3626_SGB4905,Microbiome,Firmicutes,GGB3626,GGB3626 SGB4905,,,,
s__GGB36267_SGB14177,Microbiome,Firmicutes,GGB36267,GGB36267 SGB14177,,,,
s__GGB36331_SGB15121,Microbiome,Firmicutes,GGB36331,GGB36331 SGB15121 LM (-),,, LM (-),
s__GGB3637_SGB4930,Microbiome,Firmicutes,GGB3637,GGB3637 SGB4930 LM (+) HG (+),,, LM (+), HG (+)
s__GGB3653_SGB4964,Microbiome,Firmicutes,GGB3653,GGB3653 SGB4964,,,,
s__GGB3733_SGB5066,Microbiome,Firmicutes,GGB3733,GGB3733 SGB5066 LM (+) HG (+),,, LM (+), HG (+)
s__GGB3740_SGB5077,Microbiome,Firmicutes,GGB3740,GGB3740 SGB5077 HG (-),,,, HG (-)
s__GGB3816_SGB5181,Microbiome,Firmicutes,GGB3816,GGB3816 SGB5181,,,,
s__GGB3817_SGB5182,Microbiome,Firmicutes,GGB3817,GGB3817 SGB5182,,,,
s__GGB3819_SGB5184,Microbiome,Firmicutes,GGB3819,GGB3819 SGB5184,,,,
s__GGB38744_SGB14842,Microbiome,Firmicutes,GGB38744,GGB38744 SGB14842,,,,
s__GGB3892_SGB5290,Microbiome,Firmicutes,GGB3892,GGB3892 SGB5290 TF (-),, TF (-),,
s__GGB41458_SGB58520,Microbiome,Firmicutes,GGB41458,GGB41458 SGB58520 Pre (+) TF (+), Pre (+), TF (+),,
s__GGB42378_SGB59548,Microbiome,Firmicutes,GGB42378,GGB42378 SGB59548 TF (-),, TF (-),,
s__GGB4250_SGB5750,Microbiome,Firmicutes,GGB4250,GGB4250 SGB5750 TF (+) LM (+),, TF (+), LM (+),
s__GGB4456_SGB6141,Microbiome,Firmicutes,GGB4456,GGB4456 SGB6141 LM (+),,, LM (+),
s__GGB45432_SGB63101,Microbiome,Actinobacteria,GGB45432,GGB45432 SGB63101 LM (-) HG (-),,, LM (-), HG (-)
s__GGB4549_SGB6271,Microbiome,Firmicutes,GGB4549,GGB4549 SGB6271 LM (+) HG (+),,, LM (+), HG (+)
s__GGB45491_SGB63163,Microbiome,Firmicutes,GGB45491,GGB45491 SGB63163 LM (-),,, LM (-),
s__GGB45495_SGB63167,Microbiome,Firmicutes,GGB45495,GGB45495 SGB63167 TF (-),, TF (-),,
s__GGB4552_SGB6276,Microbiome,Firmicutes,GGB4552,GGB4552 SGB6276,,,,
s__GGB45613_SGB63326,Microbiome,Firmicutes,GGB45613,GGB45613 SGB63326 LM (-),,, LM (-),
s__GGB45620_SGB63333,Microbiome,Firmicutes,GGB45620,GGB45620 SGB63333 TF (-) LM (-),, TF (-), LM (-),
s__GGB4567_SGB6307,Microbiome,Firmicutes,GGB4567,GGB4567 SGB6307 LM (+) HG (+),,, LM (+), HG (+)
s__GGB4567_SGB6308,Microbiome,Firmicutes,GGB4567,GGB4567 SGB6308 TF (-),, TF (-),,
s__GGB4571_SGB6317,Microbiome,Firmicutes,GGB4571,GGB4571 SGB6317,,,,
s__GGB4571_SGB6320,Microbiome,Firmicutes,GGB4571,GGB4571 SGB6320 TF (-),, TF (-),,
s__GGB4580_SGB6330,Microbiome,Firmicutes,GGB4580,GGB4580 SGB6330,,,,
s__GGB4602_SGB6365,Microbiome,Firmicutes,GGB4602,GGB4602 SGB6365,,,,
s__GGB4603_SGB6367,Microbiome,Firmicutes,GGB4603,GGB4603 SGB6367,,,,
s__GGB4605_SGB6376,Microbiome,Firmicutes,GGB4605,GGB4605 SGB6376 TF (-),, TF (-),,
