name,type,annotation_Phylum,annotation_Genus,name editied,Prebiotic-responsive ,Trunk Fat % associated ,Lean Mass associated ,Hand Grip associated
s__GGB4617_SGB6392,Microbiome,Firmicutes,GGB4617,GGB4617 SGB6392,,,,
s__GGB4626_SGB6403,Microbiome,Firmicutes,GGB4626,GGB4626 SGB6403,,,,
s__GGB4632_SGB6410,Microbiome,Firmicutes,GGB4632,GGB4632 SGB6410 TF (-),, TF (-),,
s__GGB4632_SGB6411,Microbiome,Firmicutes,GGB4632,GGB4632 SGB6411 LM (+) HG (+),,, LM (+), HG (+)
s__GGB4644_SGB6428,Microbiome,Firmicutes,GGB4644,GGB4644 SGB6428,,,,
s__GGB4681_SGB6471,Microbiome,Firmicutes,GGB4681,GGB4681 SGB6471 LM (+) HG (+),,, LM (+), HG (+)
s__GGB4683_SGB6473,Microbiome,Firmicutes,GGB4683,GGB4683 SGB6473,,,,
s__GGB4684_SGB6478,Microbiome,Firmicutes,GGB4684,GGB4684 SGB6478,,,,
s__GGB4689_SGB6487,Microbiome,Firmicutes,GGB4689,GGB4689 SGB6487,,,,
s__GGB47150_SGB65079,Microbiome,Firmicutes,GGB47150,GGB47150 SGB65079,,,,
s__GGB4749_SGB6578,Microbiome,Tenericutes,GGB4749,GGB4749 SGB6578,,,,
s__GGB4769_SGB6602,Microbiome,Firmicutes,GGB4769,GGB4769 SGB6602,,,,
s__GGB4802_SGB6641,Microbiome,Firmicutes,GGB4802,GGB4802 SGB6641 LM (-) HG (-),,, LM (-), HG (-)
s__GGB48468_SGB66515,Microbiome,Proteobacteria,GGB48468,GGB48468 SGB66515 TF (+) LM (+),, TF (+), LM (+),
s__GGB51269_SGB5062,Microbiome,Firmicutes,GGB51269,GGB51269 SGB5062,,,,
s__GGB51959_SGB72479,Microbiome,Actinobacteria,GGB51959,GGB51959 SGB72479,,,,
s__GGB52283_SGB73075,Microbiome,Firmicutes,GGB52283,GGB52283 SGB73075,,,,
s__GGB55957_SGB77276,Microbiome,Firmicutes,GGB55957,GGB55957 SGB77276 TF (+),, TF (+),,
s__GGB58067_SGB79698,Microbiome,Firmicutes,GGB58067,GGB58067 SGB79698,,,,
s__GGB5975_SGB8592,Microbiome,Candidatus_Melainabacteria,GGB5975,GGB5975 SGB8592,,,,
s__GGB5979_SGB8597,Microbiome,Candidatus_Melainabacteria,GGB5979,GGB5979 SGB8597 TF (-),, TF (-),,
s__GGB6007_SGB8633,Microbiome,Candidatus_Melainabacteria,GGB6007,GGB6007 SGB8633 TF (-),, TF (-),,
s__GGB6016_SGB8648,Microbiome,Candidatus_Melainabacteria,GGB6016,GGB6016 SGB8648,,,,
s__GGB6572_SGB9284,Microbiome,Proteobacteria,GGB6572,GGB6572 SGB9284 TF (+) LM (+),, TF (+), LM (+),
s__GGB6601_SGB9333,Microbiome,Proteobacteria,GGB6601,GGB6601 SGB9333 TF (-) LM (-),, TF (-), LM (-),
s__GGB6606_SGB9340,Microbiome,Proteobacteria,GGB6606,GGB6606 SGB9340,,,,
s__GGB6609_SGB9343,Microbiome,Proteobacteria,GGB6609,GGB6609 SGB9343 TF (-),, TF (-),,
s__GGB6613_SGB9347,Microbiome,Proteobacteria,GGB6613,GGB6613 SGB9347 LM (+) HG (+),,, LM (+), HG (+)
s__GGB6649_SGB9391,Microbiome,Proteobacteria,GGB6649,GGB6649 SGB9391 LM (-),,, LM (-),
s__GGB74511_SGB47635,Microbiome,Firmicutes,GGB74511,GGB74511 SGB47635 TF (+) LM (+),, TF (+), LM (+),
s__GGB74703_SGB54323,Microbiome,Firmicutes,GGB74703,GGB74703 SGB54323,,,,
s__GGB87445_SGB15180,Microbiome,Firmicutes,GGB87445,GGB87445 SGB15180,,,,
s__GGB9059_SGB13976,Microbiome,Firmicutes,GGB9059,GGB9059 SGB13976,,,,
s__GGB9064_SGB13983,Microbiome,Firmicutes,GGB9064,GGB9064 SGB13983,,,,
s__GGB9090_SGB14019,Microbiome,Firmicutes,GGB9090,GGB9090 SGB14019,,,,
s__GGB9106_SGB14039,Microbiome,Firmicutes,GGB9106,GGB9106 SGB14039,,,,
s__GGB9110_SGB14043,Microbiome,Firmicutes,GGB9110,GGB9110 SGB14043 TF (-),, TF (-),,
s__GGB9117_SGB14050,Microbiome,Firmicutes,GGB9117,GGB9117 SGB14050,,,,
s__GGB9176_SGB14114,Microbiome,Firmicutes,GGB9176,GGB9176 SGB14114,,,,
s__GGB9184_SGB14123,Microbiome,Firmicutes,GGB9184,GGB9184 SGB14123 TF (-) LM (-) HG (-),, TF (-), LM (-), HG (-)
s__GGB9185_SGB14124,Microbiome,Firmicutes,GGB9185,GGB9185 SGB14124,,,,
s__GGB9186_SGB14125,Microbiome,Firmicutes,GGB9186,GGB9186 SGB14125,,,,
s__GGB9209_SGB14148,Microbiome,Firmicutes,GGB9209,GGB9209 SGB14148 TF (-),, TF (-),,
s__GGB9237_SGB14179,Microbiome,Firmicutes,GGB9237,GGB9237 SGB14179,,,,
s__GGB9239_SGB14181,Microbiome,Firmicutes,GGB9239,GGB9239 SGB14181,,,,
s__GGB9247_SGB14190,Microbiome,Firmicutes,GGB9247,GGB9247 SGB14190,,,,
s__GGB9253_SGB14198,Microbiome,Firmicutes,GGB9253,GGB9253 SGB14198 LM (+) HG (+),,, LM (+), HG (+)
s__GGB9261_SGB14209,Microbiome,Firmicutes,GGB9261,GGB9261 SGB14209 LM (+) HG (+),,, LM (+), HG (+)
s__GGB9266_SGB14216,Microbiome,Firmicutes,GGB9266,GGB9266 SGB14216 LM (+) HG (+),,, LM (+), HG (+)
s__GGB9271_SGB14222,Microbiome,Firmicutes,GGB9271,GGB9271 SGB14222 TF (-),, TF (-),,
s__GGB9271_SGB14223,Microbiome,Firmicutes,GGB9271,GGB9271 SGB14223 LM (+) HG (+),,, LM (+), HG (+)
s__GGB9291_SGB14248,Microbiome,Firmicutes,GGB9291,GGB9291 SGB14248 TF (-) LM (-),, TF (-), LM (-),
s__GGB9293_SGB14250,Microbiome,Firmicutes,GGB9293,GGB9293 SGB14250 LM (+) HG (+),,, LM (+), HG (+)
s__GGB9296_SGB14253,Microbiome,Firmicutes,GGB9296,GGB9296 SGB14253 LM (+) HG (+),,, LM (+), HG (+)
s__GGB9302_SGB14263,Microbiome,Firmicutes,GGB9302,GGB9302 SGB14263 TF (-),, TF (-),,
s__GGB9333_SGB14296,Microbiome,Firmicutes,GGB9333,GGB9333 SGB14296,,,,
s__GGB9334_SGB14297,Microbiome,Firmicutes,GGB9334,GGB9334 SGB14297 TF (-),, TF (-),,
s__GGB9342_SGB14306,Microbiome,Firmicutes,GGB9342,GGB9342 SGB14306,,,,
s__GGB9343_SGB14307,Microbiome,Firmicutes,GGB9343,GGB9343 SGB14307 TF (-),, TF (-),,
s__GGB9348_SGB14315,Microbiome,Firmicutes,GGB9348,GGB9348 SGB14315 TF (-),, TF (-),,
s__GGB9365_SGB14341,Microbiome,Actinobacteria,GGB9365,GGB9365 SGB14341 LM (-) HG (-),,, LM (-), HG (-)
s__GGB9412_SGB14770,Microbiome,Actinobacteria,GGB9412,GGB9412 SGB14770,,,,
s__GGB9453_SGB14844,Microbiome,Firmicutes,GGB9453,GGB9453 SGB14844 LM (-) HG (-),,, LM (-), HG (-)
s__GGB9469_SGB14862,Microbiome,Firmicutes,GGB9469,GGB9469 SGB14862,,,,
s__GGB9469_SGB14863,Microbiome,Firmicutes,GGB9469,GGB9469 SGB14863,,,,
s__GGB9495_SGB14892,Microbiome,Firmicutes,GGB9495,GGB9495 SGB14892 HG (-),,,, HG (-)
s__GGB9502_SGB14899,Microbiome,Firmicutes,GGB9502,GGB9502 SGB14899,,,,
s__GGB9509_SGB14906,Microbiome,Firmicutes,GGB9509,GGB9509 SGB14906,,,,
s__GGB9512_SGB14909,Microbiome,Firmicutes,GGB9512,GGB9512 SGB14909 TF (+),, TF (+),,
s__GGB9522_SGB98319,Microbiome,Firmicutes,GGB9522,GGB9522 SGB98319 TF (-) LM (-),, TF (-), LM (-),
s__GGB9524_SGB14924,Microbiome,Firmicutes,GGB9524,GGB9524 SGB14924,,,,
s__GGB9525_SGB14925,Microbiome,Firmicutes,GGB9525,GGB9525 SGB14925 LM (+) HG (+),,, LM (+), HG (+)
s__GGB9531_SGB14932,Microbiome,Firmicutes,GGB9531,GGB9531 SGB14932 LM (-),,, LM (-),
s__GGB9532_SGB14933,Microbiome,Firmicutes,GGB9532,GGB9532 SGB14933,,,,
s__GGB9534_SGB14937,Microbiome,Firmicutes,GGB9534,GGB9534 SGB14937,,,,
s__GGB9545_SGB14951,Microbiome,Firmicutes,GGB9545,GGB9545 SGB14951,,,,
s__GGB9547_SGB14953,Microbiome,Firmicutes,GGB9547,GGB9547 SGB14953 TF (-) LM (-) HG (-),, TF (-), LM (-), HG (-)
s__GGB9551_SGB14958,Microbiome,Firmicutes,GGB9551,GGB9551 SGB14958,,,,
s__GGB9559_SGB69175,Microbiome,Firmicutes,GGB9559,GGB9559 SGB69175,,,,
s__GGB9563_SGB14975,Microbiome,Firmicutes,GGB9563,GGB9563 SGB14975,,,,
s__GGB9574_SGB14987,Microbiome,Firmicutes,GGB9574,GGB9574 SGB14987 HG (+),,,, HG (+)
s__GGB9590_SGB15012,Microbiome,Firmicutes,GGB9590,GGB9590 SGB15012,,,,
s__GGB9602_SGB15031,Microbiome,Firmicutes,GGB9602,GGB9602 SGB15031 HG (+),,,, HG (+)
s__GGB9606_SGB15038,Microbiome,Firmicutes,GGB9606,GGB9606 SGB15038 LM (+) HG (+),,, LM (+), HG (+)
s__GGB9616_SGB15062,Microbiome,Firmicutes,GGB9616,GGB9616 SGB15062 LM (+) HG (+),,, LM (+), HG (+)
s__GGB9618_SGB15065,Microbiome,Firmicutes,GGB9618,GGB9618 SGB15065,,,,
s__GGB9619_SGB15067,Microbiome,Firmicutes,GGB9619,GGB9619 SGB15067,,,,
s__GGB9623_SGB15075,Microbiome,Firmicutes,GGB9623,GGB9623 SGB15075 TF (-),, TF (-),,
s__GGB9627_SGB15081,Microbiome,Firmicutes,GGB9627,GGB9627 SGB15081 TF (+) HG (-),, TF (+),, HG (-)
s__GGB9630_SGB15084,Microbiome,Firmicutes,GGB9630,GGB9630 SGB15084 LM (+) HG (+),,, LM (+), HG (+)
s__GGB9634_SGB15093,Microbiome,Firmicutes,GGB9634,GGB9634 SGB15093,,,,
s__GGB9635_SGB15106,Microbiome,Firmicutes,GGB9635,GGB9635 SGB15106 Pre (+) TF (-), Pre (+), TF (-),,
s__GGB9636_SGB15107,Microbiome,Firmicutes,GGB9636,GGB9636 SGB15107 LM (+) HG (+),,, LM (+), HG (+)
s__GGB9641_SGB15117,Microbiome,Firmicutes,GGB9641,GGB9641 SGB15117,,,,
s__GGB9642_SGB15119,Microbiome,Firmicutes,GGB9642,GGB9642 SGB15119 TF (-),, TF (-),,
s__GGB9646_SGB15123,Microbiome,Firmicutes,GGB9646,GGB9646 SGB15123,,,,
s__GGB9691_SGB15198,Microbiome,Firmicutes,GGB9691,GGB9691 SGB15198,,,,
s__GGB9697_SGB15213,Microbiome,Firmicutes,GGB9697,GGB9697 SGB15213 LM (+) HG (+),,, LM (+), HG (+)
s__GGB9699_SGB15216,Microbiome,Firmicutes,GGB9699,GGB9699 SGB15216 TF (+),, TF (+),,
s__GGB9708_SGB15234,Microbiome,Firmicutes,GGB9708,GGB9708 SGB15234 HG (+),,,, HG (+)
s__GGB9712_SGB15244,Microbiome,Firmicutes,GGB9712,GGB9712 SGB15244 TF (-),, TF (-),,
s__GGB9715_SGB15260,Microbiome,Firmicutes,GGB9715,GGB9715 SGB15260 LM (-) HG (-),,, LM (-), HG (-)
s__GGB9719_SGB15272,Microbiome,Firmicutes,GGB9719,GGB9719 SGB15272,,,,
s__GGB9719_SGB15273,Microbiome,Firmicutes,GGB9719,GGB9719 SGB15273 LM (-) HG (-),,, LM (-), HG (-)
s__GGB9719_SGB53514,Microbiome,Firmicutes,GGB9719,GGB9719 SGB53514 LM (-),,, LM (-),
s__GGB9724_SGB15278,Microbiome,Firmicutes,GGB9724,GGB9724 SGB15278,,,,
s__GGB9730_SGB15291,Microbiome,Firmicutes,GGB9730,GGB9730 SGB15291,,,,
s__GGB9747_SGB15356,Microbiome,Firmicutes,GGB9747,GGB9747 SGB15356 LM (+) HG (+),,, LM (+), HG (+)
s__GGB9758_SGB15368,Microbiome,Firmicutes,GGB9758,GGB9758 SGB15368,,,,
s__GGB9760_SGB15373,Microbiome,Firmicutes,GGB9760,GGB9760 SGB15373 TF (+),, TF (+),,
s__GGB9766_SGB15383,Microbiome,Firmicutes,GGB9766,GGB9766 SGB15383 TF (-),, TF (-),,
s__GGB9770_SGB15390,Microbiome,Firmicutes,GGB9770,GGB9770 SGB15390 LM (-),,, LM (-),
s__GGB9770_SGB73065,Microbiome,Firmicutes,GGB9770,GGB9770 SGB73065,,,,
s__GGB9781_SGB15402,Microbiome,Firmicutes,GGB9781,GGB9781 SGB15402 TF (-) LM (-) HG (-),, TF (-), LM (-), HG (-)
s__GGB9782_SGB15403,Microbiome,Firmicutes,GGB9782,GGB9782 SGB15403 TF (-) LM (-) HG (-),, TF (-), LM (-), HG (-)
s__GGB9787_SGB15410,Microbiome,Firmicutes,GGB9787,GGB9787 SGB15410 TF (-) HG (+),, TF (-),, HG (+)
s__GGB9790_SGB15413,Microbiome,Firmicutes,GGB9790,GGB9790 SGB15413 TF (-) LM (-),, TF (-), LM (-),
s__GGB9818_SGB15459,Microbiome,Proteobacteria,GGB9818,GGB9818 SGB15459 TF (-),, TF (-),,
GM_CSF,cytokine,GM-CSF,GM-CSF,GM-CSF,,,,
s__Gordonibacter_pamelaeae,Microbiome,Actinobacteria,Gordonibacter,Gordonibacter pamelaeae LM (-) HG (-),,, LM (-), HG (-)
s__Guopingia_tenuis,Microbiome,Firmicutes,Guopingia,Guopingia tenuis LM (-),,, LM (-),
s__Haemophilus_parainfluenzae,Microbiome,Proteobacteria,Haemophilus,Haemophilus parainfluenzae LM (+),,, LM (+),
IL_10,cytokine,IL-10,IL-10,IL-10,,,,
IL_12p4,cytokine,IL-12p40,IL-12p40,IL-12p40,,,,
IL_13,cytokine,IL-13,IL-13,IL-13,,,,
IL_1b,cytokine,IL-1b,IL-1b,IL-1b,,,,
IL_1RA,cytokine,IL-1RA,IL-1RA,IL-1RA,,,,
IL_4,cytokine,IL-4,IL-4,IL-4,,,,
IL_5,cytokine,IL-5,IL-5,IL-5,,,,
s__Intestinibacillus_massiliensis,Microbiome,Firmicutes,Intestinibacillus,Intestinibacillus massiliensis,,,,
s__Intestinimonas_butyriciproducens,Microbiome,Firmicutes,Intestinimonas,Intestinimonas butyriciproducens TF (+),, TF (+),,
s__Intestinimonas_gabonensis,Microbiome,Firmicutes,Intestinimonas,Intestinimonas gabonensis,,,,
s__Jingyaoa_shaoxingensis,Microbiome,Firmicutes,Jingyaoa,Jingyaoa shaoxingensis LM (+) HG (+),,, LM (+), HG (+)
s__Jutongia_hominis,Microbiome,Firmicutes,Jutongia,Jutongia hominis,,,,
s__Kineothrix_SGB4886,Microbiome,Firmicutes,Kineothrix,Kineothrix SGB4886,,,,
s__Lachnoclostridium_sp_An131,Microbiome,Firmicutes,Lachnoclostridium,Lachnoclostridium sp An131 LM (-),,, LM (-),
s__Lachnospira_eligens,Microbiome,Firmicutes,Lachnospira,Lachnospira eligens,,,,
s__Lachnospiraceae_bacterium,Microbiome,Firmicutes,Lachnospiraceae_unclassified,Lachnospiraceae bacterium,,,,
s__Lachnospiraceae_unclassified_SGB4550,Microbiome,Firmicutes,Lachnospiraceae_unclassified,Lachnospiraceae unclassified SGB4550,,,,
s__Lachnospiraceae_unclassified_SGB4708,Microbiome,Firmicutes,Lachnospiraceae_unclassified,Lachnospiraceae unclassified SGB4708,,,,
s__Lachnotalea_sp_AF33_28,Microbiome,Firmicutes,Lachnotalea,Lachnotalea sp AF33 28,,,,
s__Lacrimispora_amygdalina,Microbiome,Firmicutes,Lacrimispora,Lacrimispora amygdalina,,,,
s__Lactococcus_cremoris,Microbiome,Firmicutes,Lactococcus,Lactococcus cremoris,,,,
s__Lawsonibacter_SGB15145,Microbiome,Firmicutes,Lawsonibacter,Lawsonibacter SGB15145,,,,
s__Lentihominibacter_faecis,Microbiome,Firmicutes,Lentihominibacter,Lentihominibacter faecis,,,,
s__Lentihominibacter_SGB71368,Microbiome,Firmicutes,Lentihominibacter,Lentihominibacter SGB71368,,,,
s__Limosilactobacillus_fermentum,Microbiome,Firmicutes,Limosilactobacillus,Limosilactobacillus fermentum TF (+),, TF (+),,
s__Longibaculum_muris,Microbiome,Firmicutes,Longibaculum,Longibaculum muris HG (+),,,, HG (+)
s__Massilistercora_timonensis,Microbiome,Firmicutes,Massilistercora,Massilistercora timonensis,,,,
s__Mediterraneibacter_glycyrrhizinilyticus,Microbiome,Firmicutes,Mediterraneibacter,Mediterraneibacter glycyrrhizinilyticus,,,,
s__Mediterraneibacter_massiliensis,Microbiome,Firmicutes,Mediterraneibacter,Mediterraneibacter massiliensis LM (-),,, LM (-),
s__Mediterraneibacter_SGB48424,Microbiome,Firmicutes,Mediterraneibacter,Mediterraneibacter SGB48424 LM (-) HG (-),,, LM (-), HG (-)
s__Mediterraneibacter_sp_NSJ_151,Microbiome,Firmicutes,Mediterraneibacter,Mediterraneibacter sp NSJ 151,,,,
s__Megamonas_funiformis,Microbiome,Firmicutes,Megamonas,Megamonas funiformis LM (+) HG (+),,, LM (+), HG (+)
s__Methanobrevibacter_smithii,Microbiome,Euryarchaeota,Methanobrevibacter,Methanobrevibacter smithii TF (-),, TF (-),,
s__Monoglobus_pectinilyticus,Microbiome,Firmicutes,Monoglobus,Monoglobus pectinilyticus,,,,
s__Negativibacillus_massiliensis,Microbiome,Firmicutes,Negativibacillus,Negativibacillus massiliensis,,,,
s__Oliverpabstia_intestinalis,Microbiome,Firmicutes,Oliverpabstia,Oliverpabstia intestinalis LM (+) HG (+),,, LM (+), HG (+)
s__Oscillibacter_hominis,Microbiome,Firmicutes,Oscillibacter,Oscillibacter hominis LM (+) HG (+),,, LM (+), HG (+)
s__Oscillibacter_sp_ER4,Microbiome,Firmicutes,Oscillibacter,Oscillibacter sp ER4,,,,
s__Oscillibacter_sp_MSJ_31,Microbiome,Firmicutes,Oscillibacter,Oscillibacter sp MSJ 31 HG (+),,,, HG (+)
s__Oscillospiraceae_bacterium,Microbiome,Firmicutes,Oscillospiraceae_unclassified,Oscillospiraceae bacterium,,,,
s__Parabacteroides_distasonis,Microbiome,Bacteroidota,Parabacteroides,Parabacteroides distasonis,,,,
s__Parabacteroides_johnsonii,Microbiome,Bacteroidota,Parabacteroides,Parabacteroides johnsonii,,,,
s__Parabacteroides_merdae,Microbiome,Bacteroidota,Parabacteroides,Parabacteroides merdae HG (-),,,, HG (-)
s__Paraprevotella_clara,Microbiome,Bacteroidota,Paraprevotella,Paraprevotella clara,,,,
s__Phascolarctobacterium_faecium,Microbiome,Firmicutes,Phascolarctobacterium,Phascolarctobacterium faecium LM (+) HG (+),,, LM (+), HG (+)
s__Phascolarctobacterium_sp_ET69,Microbiome,Firmicutes,Phascolarctobacterium,Phascolarctobacterium sp ET69,,,,
s__Phocaeicola_coprocola,Microbiome,Bacteroidota,Phocaeicola,Phocaeicola coprocola HG (+),,,, HG (+)
s__Phocaeicola_dorei,Microbiome,Bacteroidota,Phocaeicola,Phocaeicola dorei,,,,
s__Phocaeicola_plebeius,Microbiome,Bacteroidota,Phocaeicola,Phocaeicola plebeius LM (+) HG (+),,, LM (+), HG (+)
s__Phocaeicola_vulgatus,Microbiome,Bacteroidota,Phocaeicola,Phocaeicola vulgatus,,,,
s__Phocea_massiliensis,Microbiome,Firmicutes,Phocea,Phocea massiliensis,,,,
s__Prevotella_SGB1589,Microbiome,Bacteroidota,Prevotella,Prevotella SGB1589 TF (-),, TF (-),,
s__Pseudoflavonifractor_gallinarum,Microbiome,Firmicutes,Pseudoflavonifractor,Pseudoflavonifractor gallinarum TF (+) LM (+),, TF (+), LM (+),
s__Pseudoflavonifractor_phocaeensis,Microbiome,Firmicutes,Pseudoflavonifractor,Pseudoflavonifractor phocaeensis,,,,
s__Pseudoflavonifractor_sp_MSJ_37,Microbiome,Firmicutes,Pseudoflavonifractor,Pseudoflavonifractor sp MSJ 37,,,,
s__Pseudomonas_fluorescens,Microbiome,Proteobacteria,Pseudomonas,Pseudomonas fluorescens,,,,
s__Raoultibacter_massiliensis,Microbiome,Actinobacteria,Raoultibacter,Raoultibacter massiliensis HG (+),,,, HG (+)
s__Roseburia_intestinalis,Microbiome,Firmicutes,Roseburia,Roseburia intestinalis,,,,
s__Roseburia_sp_AF02_12,Microbiome,Firmicutes,Roseburia,Roseburia sp AF02 12,,,,
s__Roseburia_sp_AM59_24XD,Microbiome,Firmicutes,Roseburia,Roseburia sp AM59 24XD,,,,
s__Rothia_mucilaginosa,Microbiome,Actinobacteria,Rothia,Rothia mucilaginosa LM (+),,, LM (+),
s__Ruminococcus_gauvreauii,Microbiome,Firmicutes,Ruminococcus,Ruminococcus gauvreauii,,,,
s__Ruminococcus_gnavus,Microbiome,Firmicutes,Mediterraneibacter,Ruminococcus gnavus,,,,
s__Ruminococcus_lactaris,Microbiome,Firmicutes,Mediterraneibacter,Ruminococcus lactaris,,,,
s__Ruminococcus_SGB4421,Microbiome,Firmicutes,Ruminococcus,Ruminococcus SGB4421,,,,
s__Ruminococcus_sp_AF41_9,Microbiome,Firmicutes,Ruminococcus,Ruminococcus sp AF41 9,,,,
s__Ruminococcus_torques,Microbiome,Firmicutes,Mediterraneibacter,Ruminococcus torques Pre (-), Pre (-),,,
s__Ruthenibacterium_lactatiformans,Microbiome,Firmicutes,Ruthenibacterium,Ruthenibacterium lactatiformans Pre (-) LM (-) HG (-), Pre (-),, LM (-), HG (-)
s__Schaalia_odontolytica,Microbiome,Actinobacteria,Schaalia,Schaalia odontolytica,,,,
s__Schaalia_SGB17154,Microbiome,Actinobacteria,Schaalia,Schaalia SGB17154,,,,
s__Schaalia_SGB17168,Microbiome,Actinobacteria,Schaalia,Schaalia SGB17168,,,,
s__Senegalimassilia_anaerobia,Microbiome,Actinobacteria,Senegalimassilia,Senegalimassilia anaerobia HG (+),,,, HG (+)
s__Simiaoa_sunii,Microbiome,Firmicutes,Simiaoa,Simiaoa sunii TF (+) LM (+),, TF (+), LM (+),
s__Solobacterium_SGB6829,Microbiome,Firmicutes,Solobacterium,Solobacterium SGB6829,,,,
s__Streptococcus_australis,Microbiome,Firmicutes,Streptococcus,Streptococcus australis LM (+),,, LM (+),
s__Streptococcus_mitis,Microbiome,Firmicutes,Streptococcus,Streptococcus mitis,,,,
s__Streptococcus_rubneri,Microbiome,Firmicutes,Streptococcus,Streptococcus rubneri,,,,
s__Sutterella_SGB9281,Microbiome,Proteobacteria,Sutterella,Sutterella SGB9281 LM (+) HG (+),,, LM (+), HG (+)
s__Sutterella_wadsworthensis,Microbiome,Proteobacteria,Sutterella,Sutterella wadsworthensis,,,,
TNFa,cytokine,TNFa,TNFa,TNFa,,,,
s__Turicimonas_muris,Microbiome,Proteobacteria,Turicimonas,Turicimonas muris TF (-) HG (+),, TF (-),, HG (+)
s__Tyzzerella_SGB4587,Microbiome,Firmicutes,Tyzzerella,Tyzzerella SGB4587,,,,
s__Veillonella_dispar,Microbiome,Firmicutes,Veillonella,Veillonella dispar LM (+),,, LM (+),
s__Veillonella_rogosae,Microbiome,Firmicutes,Veillonella,Veillonella rogosae LM (+),,, LM (+),
s__Wansuia_hejianensis,Microbiome,Firmicutes,Wansuia,Wansuia hejianensis,,,,
s__Yanshouia_hominis,Microbiome,Firmicutes,Yanshouia,Yanshouia hominis TF (-),, TF (-),,
s__Youxingia_wuxianensis,Microbiome,Firmicutes,Youxingia,Youxingia wuxianensis,,,,
s__Zhenpiania_hominis,Microbiome,Firmicutes,Zhenpiania,Zhenpiania hominis,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
