SampleID,BSH,12aHSDH,7aHSDH,7bHSDH,3aHSDH,3bHSDH,BaiA,BaiB,BaiCD,BaiF,BaiE
Li32124_S1,108.34,0,5.13,0,0.43,0,0,0,0,0,0.38
Li32125_S2,114.83,0,8.79,0,0,0,0,0,0,0,0.29
Li32126_S3,152.31,0,2.87,0,0,0,0,0,0,0,0.38
Li32127_S4,113.78,0,9.02,0.08,0,0.72,0.06,0.07,0,0,0.44
Li32128_S5,89.62,0,33.31,0,0,0.1,0,0,0,0,0.21
Li32129_S6,65.86,0.15,0.17,0.29,0,0.05,0,0,0,0.06,0.2
Li32130_S7,34.86,0.17,0.77,0,0,0.57,0.06,0,0,0,0
Li32131_S8,60.41,0.07,11.67,0,0.1,2.36,0,0,0,0,0.05
Li32132_S9,55.72,0.17,1.15,0,0.15,0.46,0.79,0,0,0.06,0.12
Li32133_S10,111.45,0.53,3.91,0.13,0,0,0.21,0.23,0.22,0.17,0.33
Li32134_S11,93.73,0.24,2.84,0.1,0,0,0.27,0.22,0.31,0.2,0.15
Li32135_S12,89.83,0.25,4.28,0.7,0,0.04,0.24,0.25,0.22,0.35,0.35
Li32136_S13,125.67,1.44,0,0.32,3.65,0.21,0.26,0.28,0.25,0.23,0.25
Li32137_S14,122.84,0.7,0,0.1,9.12,0.08,0.06,0,0.06,0.06,0.18
Li32138_S15,122.99,0.46,0.23,0.22,10.14,0,0.12,0.12,0.12,0.12,0.13
Li32139_S16,127.65,0,1.02,0.72,0.71,0.25,0,0,0,0,0.37
Li32140_S17,109.59,0,1.57,0.23,0.49,0.99,0,0,0,0,0.25
Li32141_S18,103.33,0,1.27,0.32,0.11,1.07,0.14,0.09,0.06,0.17,0.32
Li32142_S19,14.51,0.77,2.23,0.59,0,0.27,1.25,1.72,1.9,1.89,2.02
Li32143_S20,14.53,0.06,2.73,0.25,0,2.95,0.96,0.78,0.87,1.19,1.29
Li32144_S21,22.60,1.33,2.3,0.16,0.06,0.55,2,2.5,2.4,2.59,2.69
Li32145_S22,57.51,1.29,2.9,0.06,0,5.65,0.09,0.07,0,0,0.35
Li32146_S23,52.00,0.8,1.68,0,0,1.75,0,0,0,0,0.12
Li32147_S24,94.67,0.61,2.11,0,0,1.01,0,0,0,0,0.31
Li32148_S25,104.66,0.43,0.26,0.45,0.25,0.19,0.09,0,0,0,0.91
Li32149_S26,103.15,0.42,0.44,0,1.13,0.13,0.05,0,0,0,0.32
Li32150_S27,104.61,0.29,0.57,0.7,0.04,0,0,0,0,0,0.53
Li32151_S28,100.30,0.16,1.44,0,0.2,0.24,0,0,0,0,0.41
Li32152_S29,73.16,0,2.96,0,0.89,0.65,0,0,0,0,0.12
Li32153_S30,86.32,0.18,2.97,0.07,1.98,0.32,0.39,0.23,0.3,0.26,1.41
Li32154_S31,95.23,0,0.98,2.13,0,1.34,0,0,0,0,0.22
Li32155_S32,86.52,0,0.21,0.15,0,1.71,0,0,0,0,0.35
Li32156_S33,139.85,0,0,0.1,0,0,0,0,0,0,0.39
Li32157_S34,134.89,0.08,0.89,0.27,0,0.11,0,0,0,0,0.6
Li32158_S35,129.91,0,0.68,0.09,0,0.11,0,0,0,0,0.46
Li32159_S36,85.27,0,0.14,0.23,0,0,0.27,0.34,0.31,0.35,0.32
Li32160_S37,89.20,0,0.09,0.07,0,0,0.1,0.11,0.08,0.15,0.08
Li32161_S38,72.02,0.08,5.29,0,0.16,0.23,0,0,0,0,0.03
Li32162_S39,81.34,0.21,5.25,0,0,0.09,0,0,0,0,0.09
Li32163_S40,61.90,0.08,3.01,0,0.05,0.11,0,0,0,0,0.04
Li32164_S41,62.31,0.1,3.91,0,0,1.73,0,0,0,0,0
Li32165_S42,49.54,0,0.29,0.21,0.19,0.07,0,0,0,0,0
Li32166_S43,86.00,0,0.35,0.06,0.15,0.2,0,0,0,0,0
Li32167_S44,70.71,0,0.6,0.03,0.04,0,0,0,0,0,0
Li32168_S45,97.16,0,2.08,1.21,0,0.99,0.52,0.45,0.69,0.55,0.55
Li32169_S46,143.20,0,0.39,0.28,0.06,4.37,0.75,0.61,0.69,0.75,0.92
Li32170_S47,83.64,0,1.19,0.48,0.72,3.03,0.74,1.01,0.8,1.02,1.25
Li32171_S48,101.53,0,11.22,0.07,0,1.02,0,0,0,0,0.05
Li32172_S49,86.68,0,12.74,0.07,0.1,1.3,0,0,0,0,0
Li32173_S50,95.70,0,13.32,0.11,0.3,3.13,0,0,0,0,0.09
Li32174_S51,88.30,0.78,0.15,0.24,0.05,0.25,0.38,0.23,0.27,0.19,0.28
Li32175_S52,81.41,0.66,0.74,0.35,0,0.1,0.06,0.08,0.08,0.11,0.17
Li32176_S53,112.92,1.03,0.33,0.25,0,0,0.06,0.1,0.09,0.09,0.2
Li32177_S54,76.50,0.17,0.24,0,2.26,0,0,0,0,0,0.32
Li32178_S55,65.32,0,0.23,0,0.84,0,0,0,0,0,0.05
Li32179_S56,90.99,0.07,0.13,0,1.71,0.27,0,0,0.03,0,0.24
Li32180_S57,107.05,0,0.1,0.09,0,0,0,0,0,0,0.04
Li32181_S58,96.63,0,0.07,0.62,0,0,0,0,0,0,0
Li32182_S59,112.34,0,0.36,0.82,0,0,0,0,0,0,0.27
Li32183_S60,84.96,0,0.24,0.05,0,4.14,0.09,0.08,0.07,0,0.12
Li32184_S61,75.26,0,0.31,0,0.7,6.18,0.19,0.24,0.26,0.17,0.37
Li32185_S62,67.09,0,0.11,1.68,0.63,8.01,0.04,0,0.07,0.05,0.1
Li32186_S63,106.55,0,0.22,0,0,0,0,0,0,0,0.07
Li32187_S64,100.89,0,6.78,0,0,0.3,0,0,0,0,0.11
Li32188_S65,116.09,0,1.7,0,0,0.07,0,0,0,0,0.25
Li32189_S66,116.76,0,0.59,0.2,1.95,0.18,0,0,0,0,0.39
Li32190_S67,120.05,0,0.92,0.5,4.64,0.34,0,0,0,0,0.09
Li32191_S68,161.14,0,1.86,0.08,0.13,0.49,0.07,0.05,0,0,0.34
Li32192_S69,110.90,0,0.36,0.32,0,1.79,0,0,0,0,0.25
Li32193_S70,107.04,0,0,0.16,0,2.21,0,0,0,0,0.16
Li32194_S71,117.28,0,0.12,0.38,0,1.74,0,0,0,0,0.17
Li32195_S72,101.55,0,0.73,1.08,0,0.16,0,0,0,0,0.16
Li32196_S73,140.98,0,0.18,0.91,0,0.27,0,0,0,0,0.53
Li32197_S74,115.08,0,0.07,1.29,0,0.89,0,0,0,0,0.43
Li32198_S75,88.78,0.14,0.15,0.35,1.22,0,0,0,0,0,0.27
Li32199_S76,83.69,0.91,0.17,0.2,0,0,0,0,0,0,0.07
Li32200_S77,98.94,0.79,2.04,0,0,1.71,0,0,0.05,0.04,0.07
Li32201_S78,69.07,0.72,2.54,0,0,0.83,0,0,0,0,0.15
Li32202_S79,58.05,0,4.4,0.17,0,1.42,0,0,0,0,0.06
Li32203_S80,95.78,0,1.67,0,0,0.34,0.33,0,0,0.03,0.05
Li32204_S81,73.54,0.77,36.46,0,0,0.15,0.04,0.05,0,0,0.15
Li32205_S82,85.20,2.08,28.49,0,0,0.16,0,0.08,0,0.05,0.23
Li32206_S83,67.36,1.31,0.16,0.14,3.54,0.92,0.19,0.21,0.21,0.24,0.63
Li32207_S84,68.17,0.46,0.15,0,2.84,11.67,0,0.06,0.05,0,0.33
