SampleID,Sample_Name,10-HYDROXYDECANOATE,3-[2-HYDROXYPHENYL]PROPANOATE,3-HYDROXY-3-METHYLGLUTARATE,3-HYDROXYBUTANOIC ACID,3-HYDROXYPHENYLACETATE,4-METHYL-2-OXO-PENTANOIC ACID,4-METHYLCATECHOL,5-OXO-D-PROLINE,6-CARBOXYHEXANOATE,6-DEOXY-L-GALACTOSE,ACETOACETATE,ALLANTOIN,GLUCOSE,ASCORBATE,BENZYL ALCOHOL,CHOLATE,CITRULLINE,CORTICOSTERONE,CORTISOL,CORTISONE,CREATINE,CREATININE,DEOXYCHOLATE,D-GULONIC ACID GAMA-LACTONE,D-SORBITOL,GLUTARATE,GLYCOCHOLATE,GUANOSINE,HIPPURATE,HOMOGENTISATE,HOMOVANILLATE,HYPOXANTHINE,INOSINE,ITACONATE,L-ARGININE,LEUCINE,L-GLUTAMIC ACID,L-GLUTAMINE,L-LYSINE,L-ORNITHINE,L-PROLINE,L-SERINE,L-THREONINE,L-TRYPTOPHAN,L-TYROSINE,L-VALINE,MANNITOL,N6-[DELTA2-ISOPENTENYL]-ADENINE,OLEATE,OMEGA-HYDROXYDODECANOIC ACID,PALMITATE,PHENYLACETALDEHYDE,SUCCINATE,TAURINE,THEOBROMINE,URATE,URIDINE
Li32124_S1,OA01A,164070.64,128711.32,5096677,473008.09,35148.84,730604.94,45889.64,798346.69,19479.79,1992.89,25424.86,77315.37,26724974,2822889.75,77527.87,110441.48,110739.24,13208.96,21846.5,9092.74,16834.84,29127.76,394518.34,5049.95,44169.68,6708.18,8259.71,52605.29,367552.28,6510.04,31486.26,412245.22,765763.69,9882.58,751941.25,33567.16,31963.28,716102.5,5349.19,211423.38,3280.65,103881.66,86559.86,136157.55,219599.86,7589.16,12190.32,1715.86,154598.58,142467.92,15980.37,36727.07,151375.3,764632.31,8788482,28260202,637376.69
Li32127_S4,OA04A,75690.62,34887.61,5460025,418689.59,60618.03,703144.75,54512.48,977576.31,30032.66,1841.11,23695.01,210202.05,27933056,1182812.75,65295.39,62601.53,85568.91,3009.29,1691.13,4029.93,10511.82,36072.78,614432,1247.96,88343.12,15392.08,38280.38,32800.58,3257968.75,15445.25,10832.69,165410.59,412649.84,21366.81,745914.06,33547.44,18304.87,884519.94,6102.14,212974.3,4755.89,75499.3,90635.6,154185.75,317623.66,7587.38,33422.89,4349.14,22057.8,51685.2,3351.2,10242.88,134342.7,660250.44,8905035,31176192,643328.62
Li32130_S7,OA05A,157118.8,24543.45,4714461.5,1221038.12,32706.88,654589.94,226176.64,1285883.38,41941.31,7490.61,129777.79,156847.47,24744090,1279209.38,138332.33,79666.9,83159.8,9447.69,21640.63,6377.94,8455.2,33984.43,705034.44,14780.73,90973.81,33526.5,100480.97,45036.5,1645816,22281.93,9261.51,611830.12,367498.28,4411.98,648442.25,36115.23,77830.48,856492.44,6212.08,175887.5,2969.35,89018.76,93942.48,141788.94,362626.59,8583.81,26416.77,5992.21,143875.25,98140.6,23801.28,8743.93,175972.94,1288754.12,8251320,27905248,374063
Li32133_S10,OA06A,111797.62,74578.55,4422024,700213.44,23437.36,443369.66,14547.78,745938.56,31081.23,1175.94,64140.99,200237.8,23531782,128623.13,43826.91,77001.53,99253.59,7179.36,4146.87,4427.81,11071.71,21820.4,279060.97,1366.64,33181.67,17675.45,6326.34,80002.38,680103.25,7233,32161.6,530910.12,1041123,3353.45,596787.19,29933.95,43186.21,754185.81,4003.67,183303.12,3852.5,76577.99,63617.81,91092.84,238437.7,5515.44,13413.96,2523.19,184758.8,84486.41,19609.88,11222.13,161724.17,1115311.12,15964223,25909466,433033.75
Li32136_S13,OA08A,137169.11,291073.91,4502349,731950,846359.31,775915.06,46475.04,1093207.88,82452.05,2373.68,59762,258225.17,24010522,672787.94,25960.16,72901.92,59424.46,6406.28,5003.97,2993.47,13642.1,34087.7,110665.5,3413.05,76571.81,8326.73,9688.94,33453.69,4892416,49039.53,102905.06,446488,431782.47,29712.95,556214.06,46299.72,40403.43,622645.56,5829.2,170853.69,4719.74,69823.31,103451.4,165005.69,359786.41,9882.61,37361.22,4729.23,139396.59,65048.37,18863.41,75009.68,182214.12,879767.5,7304372,27872648,235771.67
Li32139_S16,OA09A,179389.48,105686.3,5343325.5,2609441.25,277068.19,914055.5,59786.25,733180.69,36602.68,2641.68,257270.69,207733.7,28611802,226012.08,110290.73,193338.95,44996.02,3530.73,4258.02,3991.2,4246.86,68715.48,140062.41,1108.95,57938.03,24549.58,23357.88,155932.95,977633,19627.92,32334.52,146818.42,1460545,21787.78,556234.31,45900.87,45382.39,725018.06,6064.51,161100.23,3814.55,64480.2,99558.84,78698.87,128190.94,7567.44,26554.9,17918.9,184105.12,89476.27,24494.03,21385.65,191089.05,482972.88,9113574,33548648,502243.25
Li32142_S19,OA10A,170118.48,272768.47,5003907.5,605613.81,395844.09,788290.44,109091.07,899444.19,37275.08,4157.62,68024.66,163523.23,26412282,314812.91,318381.75,81355.26,111378.31,11658.07,9596.85,2509.95,6196.99,38844.89,440969.34,1005.18,687918.19,16793.56,43229.97,101125.52,4653413.5,18089.01,47458.3,187782.7,806998.19,9325.7,665374.12,41217.41,22914.54,780498.94,4933.91,179165.25,3570.68,55313.66,73477.29,123150.71,260043.98,8657.47,333829.91,10915.52,138966.61,83587.19,20972.13,24671.28,159758.02,531199.31,9056882,23453294,377524.28
Li32145_S22,OA12A,186402.33,77940.93,5220403,732088.06,116244.56,796299.31,127645.77,974953.5,72412.49,5639.48,29199.42,215989.3,28136040,1734851.38,307941.66,132474.27,71857.1,19261.38,25527.01,10317.25,19258.57,37158.83,348433.09,93377.88,50939.64,11989.56,22580.35,115518.54,3633229,20963.85,48317.4,466947.22,845939.56,21204.5,595714.31,31510.67,36166.93,693823.06,4659.27,168660.08,3170.81,75546.96,101047.38,104891.91,299115.5,7459.19,29223.33,7127.24,263889.28,158801.14,21946.85,12378.25,144971.52,1334563.88,9269813,35837940,767367
Li32148_S25,OA13A,169356.52,994477.69,4474390,805177.81,24537.62,774204.5,80599.65,781576.81,54879.98,1649.09,110963.59,119528.37,23614288,696972.81,109723.74,38181.97,57702.19,3697.7,12609.99,3215.29,15774.26,25091.1,249529.23,6325.97,63497.88,12515.16,22849.24,79818.21,8904163,23053.06,407671.12,270166.53,772210.44,14823.06,740302.75,47197.14,36495.78,537802.62,4652.97,216943.62,3293.74,66379.44,64240.31,134315.69,277535.34,9724,23751.61,4057.42,127308.52,118418.75,18803.08,76531.19,150654.23,1325583.62,7455667.5,29304278,351658.47
Li32151_S28,OA19A,113814.59,340790.28,4910472,479064.16,29244.62,495204.5,82765.71,1328086.25,73401.65,4847.65,24493.38,167836.17,26226600,1290849,170976,59438.09,109909.32,12171.19,7366,4929.31,6588.89,36728.33,196111.58,57319.12,43315.45,10582.46,19613.34,33026.75,9365597,15203.12,71334.87,194262.94,431444.84,13075.66,457452.34,27764.65,15394.94,694653.06,4903.04,138039.39,3114.4,67441.9,81211.48,128683.18,258866.8,6058.65,18199.7,3604.6,208405.8,70747.09,34454.89,83053.89,153340.2,650392,8570161,32749850,550863.81
Li32154_S31,OA20A,135782.08,34550.45,5646764,467836.09,22612.8,669942.31,79342.24,1297089.12,63790.39,3631.64,33798.25,296475.06,30530850,48482.94,144679.45,140036.33,84726.52,15807.18,12612.65,6234.69,16112.35,32413.75,798979.75,1593.88,157647.17,9608.33,168472.64,44787.34,1980148.88,14554.62,11173.68,801274.56,807589.06,5026.07,603549.75,41405.24,46023.03,722474.69,6439.81,162097.44,2273.77,82053.75,105577.9,113056.68,279926.09,8493.25,75612.06,6337.92,102043.69,131458.17,10303.74,46664.05,172002.73,1577879.5,10123476,32581042,509553.84
Li32157_S34,OA22A,166683.81,3976.4,4271649.5,2102377,139970.23,552877.94,43597.55,627162.06,29356.64,2032.97,257903.02,114325.09,22552544,1242181.12,28011.49,70865.94,68974.8,1224.6,5496.89,3455.81,6657.95,26709.06,267046.38,2996.85,134485.42,8656.4,72094.16,69669.84,833981.25,15977.15,1697.24,210348.75,983918.75,4989.47,459211.72,38207.7,72171.78,622988.5,6560.12,124480.09,2485.02,55726.89,44013.44,101608.85,166784.73,9155.45,66931.62,2268.33,259021.83,135203.39,32304.72,36733.72,145289.48,381415.25,7399212.5,36528304,600259.75
Li32159_S36,OA23A,212617.89,506168.16,4993792,5509141,22848.12,1115536.12,58993.57,857878.75,87663.4,10386.46,468946.38,110870.05,25752480,1067197.5,150988.89,79596.28,84792.47,4557.52,6002.69,0,5912.26,41376.94,290597.5,4398.17,165263.5,26285.88,15313.67,112521.28,4099131.25,8003.53,201683.73,175810.06,1110933.38,41196.03,519443.16,35322.11,40715.39,698113.06,4668.73,157918.33,2157.02,76908.73,65569.25,125970.43,163767.33,8573.86,80500.82,6381.89,202850.31,171159.55,22420.2,46692.64,209430.61,560298.31,17218698,35517212,834319.81
Li32162_S39,OA24A,111458.82,63297.09,4776656.5,425932,28103.29,587227.31,27307,500680.34,96166.99,1721.33,29581.34,84967.28,26395408,786671.06,127880.73,63540.27,75179.56,0,0,3445.2,3624.16,34569.27,146696.09,2928.79,37425.31,36053.8,35788.54,68358.91,1649445.62,9517.22,15765.29,94337.79,621884.44,54592.25,778972.31,35822.76,15225.61,788187.06,4036.67,225329.61,3354.21,64956.32,59075.7,116534.12,290393.34,7277.86,13513.81,1977.05,93741.2,65794.79,9766.34,34106.21,154765.36,423238,8528589,22541258,399055
Li32165_S42,OA25A,116826.4,500146.47,4287712,327557.22,424665.34,734550.94,110697.28,784947.81,34384.23,2748.06,22255.08,172645.7,25013200,1244296,55823.61,146702.03,119659.7,11464.15,10318.28,3070.82,5603.08,25194.87,373043.25,2101.45,206198.19,9578.41,106722.69,85145.21,2493969,25316.42,122926.49,275782.34,1100845.5,7773.95,559370.5,33542.94,26777.74,679149.94,4308.67,182754.12,3885.79,61697.86,102626.35,116486.04,310806.09,7261.17,142922.69,7503.67,126833.04,65613.6,14316.78,38612.08,216864.44,853665.44,8421677,29027442,421318.22
Li32168_S45,OA26A,305057.41,97808.88,4444530,1441982.62,179854.27,700052.69,56113.09,668955.19,55918.64,2445.48,110842.79,112415.12,24000720,306164,225070.92,85926.78,52721.14,213523.8,9606.58,9553.75,12573.04,23044.78,235829.89,1680.49,30219.21,16006.5,40640.76,96903.44,2162956.5,26987.49,13603.58,390976.91,1269804.38,7553.11,535809.31,44468.52,37060.73,584300.69,3170.78,142001.2,3678.9,66933.4,69872.7,105599.02,296258.66,10971.31,11387.87,9800.65,147674.86,142700.89,18367.62,9467.83,193633.39,782089.31,8165432.5,28655238,437691.22
Li32171_S48,OA28A,199319.14,228346.17,4220036.5,1989997,34510.24,1064331.62,83604.59,966710.81,47158.26,1735.66,179222.12,156839.61,22643544,304150.84,204449.8,95421.53,106975.77,10136.79,5438.09,3904.2,26359.07,39419.98,179082.45,1352.86,31585.91,18970.22,3919.31,145601.86,4360898,31027.71,59112.06,177308.31,1226113.62,9340.97,797058.69,60010.53,50905.07,585955.56,8147.89,211200.86,3724.2,64108.77,90512.72,140815.92,359507.59,12260.45,16524.91,5424.31,263856.31,127309.96,29331.89,17273.37,138376.8,757928.31,7426174.5,33652916,382029.5
Li32174_S51,OA29A,146869.42,392242.09,4277216.5,1228143.62,54112.05,571349.56,69824.07,784342.5,31112.61,3659.94,119016.91,103935.51,23131318,1244008.38,112737.32,98197.16,95813.68,681190.5,53746.08,22610.51,19795.93,42881.86,160487.61,3606.13,500034.88,80868.97,14296.43,150248.27,2287480.25,19641.3,61530.2,493169.5,1303567.75,20036.66,728368.75,37168.8,34099.87,624776.19,5634.08,223493.2,2387.86,85289.55,112799.65,110705.1,243236.69,7115.21,202608.33,4249.73,325303.22,95817.27,26358.39,36034.46,222764.89,1007204.44,7784626,18667362,661623.31
Li32177_S54,OA30A,135582.08,178848.39,4732896,804404.19,26419.53,937897.81,133624.98,959304.44,52227.77,3033.18,66287.85,180393.77,25373070,827946.06,117455.93,63555.44,88974.09,13506.69,7732.1,4261.83,4631.29,53204.93,914929.69,1180.02,50008.72,12890.21,33767.7,50900.94,10137256,26916.2,42446.66,279374.66,479946.97,14955.02,592439.19,53631.12,42421.08,767367.75,6274.58,170411.92,4980.62,56328.14,79395.52,126772.09,273369.97,8979.8,25804,8998.91,114368.38,107007.87,14538.98,55495.14,137007.72,556808.25,8080264,38258520,545433.62
Li32180_S57,OA33A,152149.28,42593.31,4497204,1364218.38,75301.12,858317.06,57284.61,695017.69,50780.88,1216.79,88854.73,139367.67,24235630,96488.85,14904.81,56598.32,40493.07,7362.19,6329.75,4958.49,3707.96,42677.35,276551.38,1566.78,378336.16,27754.48,12681.52,16582.61,961635,22005.83,12067,423295.72,99740.84,91605.59,554034.94,55775.14,56955.19,568605.88,5552.97,166648.66,3359.17,64900.42,88701.02,124351.29,280829.41,10547.65,180305.11,3970.03,198455.44,124827.72,20622.77,28448.69,214438.77,1044003,7869248.5,26630400,313858.88
Li32183_S60,OA34A,94583.96,12638.9,4560150,425312.34,24730.68,516788,39111.54,732968.19,22069.12,2073.57,55326.47,104485.29,25521654,515941.62,87894.95,78237.67,57275.89,12433.19,10770.83,4060.16,7937.7,31575.26,245266.86,1111.49,76157.18,10479.14,18110.28,7296.03,768202.69,6186.06,7566.45,523771.09,66603.03,4823.01,428681.62,26714.68,93437.88,670020,3579.57,117258.71,5055.87,59277.33,55949.23,89623.24,125341.05,8131.1,41466.96,7402.74,43670.53,45830.3,11159.69,35521.14,101638.73,839526.5,14147379,26292160,916103.5
Li32186_S63,OA35A,138891.11,164074.48,5607920,734219.06,62555.18,594755.94,35229.2,779293.31,71649.12,4016.61,161530.89,261223.12,29981634,595938.75,18744.09,91013.43,102698.78,9380.88,8252.41,4664.41,4349.31,34373.26,117040.93,8106.45,38111.54,24638.35,21908.47,69737.81,5694089.5,21528.35,42976.3,328015.59,665685,11367.74,309184.72,37005.55,50822.3,524772.31,3499.65,77195.07,3635.02,41478.09,55492.09,139363.06,212267.05,7186.66,21637.39,7041.31,121622.54,82491.18,10053.78,18457.54,128904.66,787230.75,9920240,23382184,484810.75
Li32189_S66,OA36A,95975.06,8919.26,4297224,698682.19,22660.58,928778.81,5570.43,773535.19,33312.79,2128.89,71912.34,103599.03,23242530,1376531.5,8799.84,74628.73,96807.8,1357.79,1499.08,3536.88,19787.88,26383.35,64235.03,1087.93,98603.96,8960.73,25917.34,22834.35,271730.66,30039.18,3380.11,419524.91,139884.89,9158.61,574394.88,58654.09,49847.11,570424,5553.29,150747.05,3647.54,59166.57,77076.57,148850.67,283449.97,13083.21,40677.82,5532.49,41811.32,46852.09,5311.14,223979.14,133914.77,1096317,23244122,28890752,323015
Li32192_S69,OA37A,217325.61,2760088,4934454.5,1384399.88,50232.31,954547.06,133422.98,840147.81,61455.39,4476.61,71937.12,113624.84,26758626,862253.25,77300.96,86624.69,42489.15,11434.64,7749.22,2135.34,4214.07,28386.73,121743.72,3517.29,51793.1,16312.17,50515.08,42823.1,6463498.5,15262.22,427779.59,328896.16,157009.81,73120.41,641834.5,46542,26460.35,708128.5,7359.85,175503.94,2491.21,66842.18,87699.91,107132.23,283036.16,8067.46,18217.98,3886.47,234276.05,196316.64,34356.96,364542.91,152837.77,777272.25,17791790,26097766,399727.66
Li32195_S72,OA39A,341394.66,128022.44,4425256,6464162.5,501365.59,924449.56,37368.03,1107092.75,96973.63,6870.44,556958.62,149162.36,22718346,416467.38,5614.79,71741.51,74086.95,8252.86,4279.77,4107.97,8810.33,34057.28,75966.67,1682.83,47261.11,33106.84,4953.35,4977.93,1271049.88,20987.5,20169.63,503380,60360.38,60526.92,511742.72,36930.67,45179.17,644687.62,4705.78,135952.28,2178.78,92574.34,58076.09,93163.46,203176.81,7590.92,17861.31,2941.41,377960.38,374993.62,35588.17,11760.97,270184.97,1670319.62,7381327.5,32237568,403410.34
Li32198_S75,OA40A,151192.27,106422.57,4458358,508826.28,39576.56,735510.44,7686.59,757395.31,45573.56,2392.78,34613.69,136424.09,23727360,536603.69,14549.4,97089.62,75603.81,19188.66,13005.61,3833.86,38117.95,37274.69,47425.24,10970.57,516642.16,20697.32,98219.22,100774.98,1235615.62,43985.83,26693.05,237118.38,892857.06,65231.25,781459.81,39809.22,44896.75,741853,8011.61,202351.8,5234.65,89711.79,104712.9,158281.83,303506.72,9118.66,237349.27,2583.83,118398.72,116659.99,15595.68,24212.37,194962.92,567199,7717622,27941440,651564.81
Li32200_S77,OA42A,85723.24,729486.94,4352256,261664.48,12868.14,480708.66,28634.73,957371.31,45527.95,2953.75,27083.54,79370.9,24062162,691054.31,16731.83,56451.07,39845.96,7839.61,5542.06,2095.89,8763.73,20469.54,92609.06,8946.7,51558.95,23876.21,18492.11,3920.17,5498696.5,6737.49,231313,590796.25,65359.96,70052.55,443629.16,23794.1,43836.8,540451.75,1601.66,130851.19,2286.26,57036.78,50814.25,89078.46,216145.25,5826.92,21650.32,4681.16,70276.49,79423.95,13356.5,60073.2,137533.08,1244882.5,7882798.5,21097766,722589.25
Li32202_S79,OA44A,191170.58,65544.27,7885616.5,348440.72,39448.54,631303,15263.49,1652563.62,29417.98,4823.65,21548.68,171635.89,43455656,244138.05,49626.89,120109.87,76071.26,16330.16,14517.23,15443.15,6301.44,16945.06,579270.69,2096.39,50701.32,37158.16,474860.12,0,1838059.5,23271.35,28823.04,1579804.12,87935.32,7547.4,740474.5,50241.32,93084.48,955419.31,7286.31,206716.2,4706.06,159203.52,166898.05,180881.48,498252.09,9496.51,24595.02,6449.86,82587.03,102833.38,7788.84,6767.08,366627.25,1622767.62,14266284,22115272,683158.81
Li32204_S81,OA45A,160474.27,245632.62,3891864,1390784.5,105224.37,479347.91,74054.55,533093.19,54024.11,2707.46,142809.2,149972.3,21009366,900480,100464.91,54889.77,44587.19,9100.21,4570.23,5230.54,4357.05,30674.98,100648.87,2937.64,28143.88,38346.04,10758.53,232548.08,4451997.5,14821.97,115886.74,454941.91,1394793.62,60017.62,584726,26078.05,24170.46,736215.5,5781.11,148234.67,2102.17,59631.05,69581.82,103619.6,202148.88,6083.23,7180.35,2574.2,124226.1,159873.8,25258.77,33011.62,165841.73,1168281.12,6966778.5,27710310,571642.75
Li32206_S83,OA50A,164133.27,48106.55,4457898,3555543.25,28239.39,838004.69,113016.41,776192.56,66009.55,1371.2,310705.66,66165.16,22598494,1234487.88,159553.77,140685.91,100971.21,17316.49,7528.05,5549.67,10096.67,34888.25,136233.39,2894.51,25006.02,18273.71,0,39032.41,1037648,3868.62,8463.49,393334.59,108988.41,45270.62,665342.5,27925.58,55407.52,874563.06,3384.99,174126.52,2348.5,102375.71,76881.94,60920.22,162240.91,7012.49,6402.58,1723.73,495171,148068.52,33338.94,12024.42,197166.77,983134.94,6675080.5,27325072,913231.75
Li32125_S2,OA01B,251295.45,92912.74,4509517.5,1049056.5,17839.32,757571.31,15294.65,973445.31,31135.18,3094.04,73054.3,71367.81,24305702,1285392.5,17290.54,106318.1,107121.07,22051.1,37481.36,6095.39,15352.32,27290.56,157570.52,1848.48,145094.27,22422.54,70933.97,38859.5,904364.75,10060.11,33137.15,601299.94,424592,6792.56,542493.94,32358.95,42863.54,774207.31,4257.26,160463.83,2757.04,98593.88,92499.3,112856.79,231248.7,8520.83,69808.52,3965.18,235174.39,173004.67,25077.62,14278.38,131459.52,1086182.12,7934474,27453846,571602.31
Li32128_S5,OA04B,231644.67,17422.06,4941931.5,1420086.38,18881.48,737088.25,36952.35,1048354.69,40774.28,1576.51,84137.27,121743.75,26157616,907885,50120.46,71989.23,80093.49,5578.62,7731.66,4623.54,5518.31,26763.55,210754.86,1591.08,198180.94,18585.53,27294.74,63484.57,2178435,31812.82,11231.24,347600.72,618894.62,20033.48,674293.44,49018.56,28659.02,818864.69,5179.51,185226.05,3894.39,84944.41,95436.09,176917.2,381526.59,9971.81,83603.87,3297.74,234586.75,175694.69,15175.88,11174.2,171000.75,867586.75,16115752,25919750,366545.03
Li32131_S8,OA05B,159445.36,49447.79,4497471.5,1020813.69,58990.74,893643,32875.7,1114085.12,30409.98,4259.68,97772.09,102191.43,23606410,932055.94,147727.8,69377.27,116056.49,11590.94,15053.21,2898.79,11990.81,47608.97,415966.97,6190.97,100210.75,36353.53,17886.73,14723,3199602.25,21732.8,20156.95,541239.69,145804.94,12819.1,653309,42830.48,54953.84,860301.44,4270.43,178167.39,3450.86,77179.57,82356.62,167488.98,355558.72,9014.25,31650.1,5077.41,235987.81,101586.62,28289.38,416984.66,229274.98,1439919.38,7802987.5,27564450,492744.28
Li32134_S11,OA06B,131927.17,56714.69,4010449.75,831339.94,35932.47,473152.22,43969.14,876395.25,46022.55,3332.05,67917.03,238158.12,21521564,78306.74,106845.54,54488.59,83614.81,8745.58,5821.26,1973.73,10032.6,22497.15,309739.56,3027.76,33113.51,20392.99,30554.1,44759.03,641340.56,12008.1,27962.21,684052,258090.55,5015.3,567688.94,40801.42,43672.91,688975.31,4270.07,149939.56,3721.47,83074.96,74730.98,111020.3,290688.97,7615.56,11006.73,2530.73,165887.7,78009.34,9024,40749.36,154527.98,1714933.5,6907985.5,24036560,476128.75
Li32137_S14,OA08B,120712.13,251772.52,4705007.5,524548.56,579361.88,604786.75,111635.41,987893.69,101450.45,4327.76,56524.61,178578.52,23925504,494782.59,73861.52,64390.86,72370.02,3648.14,2756.24,2594.31,4995.77,22317.46,171973.3,5797.97,63654.94,17474.49,21321.65,13316.79,7627638,42794.77,86773.21,557051.69,129399.12,11829.33,565682.19,39596.06,50256.75,602169.69,6381.46,138553.48,4884.99,77655.68,118555.04,142761.23,314957.41,8471.37,33435.62,9950.27,88615.46,63724.55,27322.09,22752.87,166373.97,1041525.81,16501400,22474166,307548.41
Li32140_S17,OA09B,86283.95,263900.44,6583530,1485909.38,52238.59,1032180.81,91009.81,891043.25,43797.83,8934.73,201718.92,193204.7,33959648,252754.92,157885.64,216166.12,128997.73,19283.55,0,0,11366.18,77581.79,59038.2,2218.24,150167.94,16226.06,21023.42,178687.69,5216682.5,44516.18,199485.08,242052.27,734399.75,14182.36,762105.31,80739.55,109278.1,592814.5,8656.97,243174.89,4768.09,61282.22,141364.53,97120.16,211014.31,13926.37,77596.4,49106.1,87080.79,32722.92,9669.9,39728.68,274573.41,691735.75,22726192,35644308,352269.03
Li32143_S20,OA10B,177433.95,87461.85,4028445.75,1391616.5,51746.54,788975,54591.14,1191680.12,38028.64,3068.73,88575.6,104914.84,21201434,854152.06,124033.27,73568.37,85943.3,2789.09,2668.04,7047.06,6798.66,37209.63,808375.31,4061.93,117301.13,7413.06,29205.65,20165.24,2464024.25,16865.22,24090.12,661497,125870.88,5509.82,646947.75,43160.9,31322.7,819258.44,7104.8,168672.94,1904.25,82713.15,100544.09,109284.29,273436.66,10127.31,54606.87,6870.9,141537.92,172545.62,13238.7,5821.5,173019.42,1402324.88,21284796,21400918,450357.09
Li32146_S23,OA12B,130798.09,76607.95,4720002,630912.44,44051.29,802745.25,64806.07,976639.25,52665.99,2605.69,115742.54,101880.77,24954546,886084.31,155117.45,38087.79,87485.73,9042.84,5744.2,3078.62,24234.59,26400.21,410546.03,1314.86,39021.34,13350.07,44301.29,47075.43,3734131,24967.59,20339.27,1090321.62,635448.25,21842.57,1059958.12,61703.8,63677.55,671467.25,9408.57,298625.88,5110.67,107110.3,131641.23,128320.16,312548.16,11264.02,10081.3,5608.94,120560.59,105586.81,20886.11,8243.34,130539.6,2099270.75,8529059,26498064,818967.81
Li32149_S26,OA13B,113765.66,71712.01,4510051.5,635748.12,23655.64,806597.31,83090.49,992147.31,45774.89,2322.37,141477.06,89380.04,24254446,853345.19,161749.77,53879.85,89223.23,5131.26,6162.59,2993.77,26917.16,29556.02,382865.22,1096.55,34192.53,10001.24,31281.26,43780.79,3905828.25,26278.43,13463.16,948513.75,481278.78,20593.31,1153024.5,59532.13,78964.05,614534.94,8633.73,319870.62,3236.89,97758.96,119352.16,137587.14,333280.62,10964.83,10955.8,3205.67,89244.52,95421.77,17612.52,12644.08,149908.45,2210694.75,14871781,26449048,791435.81
Li32152_S29,OA19B,78355.51,637019.56,4486148,439451.28,43914.38,605152.06,133624.45,1502700,77078.91,4451.79,35199.21,153059.55,23952314,954764.44,218523.86,82257.21,178538.75,10240.8,14054.92,2228.62,14139.77,35706.72,78446.75,2512.28,613867.75,19042.55,26850.11,54266.83,12110151,30965.35,154321.48,212334.12,458981.12,15287.1,752788.81,63310.22,20388.21,890687.06,10810.38,246624.3,6096.86,87942.41,139548.48,149486.88,364117,10960.18,381797.09,6957.21,97318.44,54329,12025.64,74073.8,203331.75,691430.31,16205440,34115504,233939.64
Li32155_S32,OA20B,177844.83,53137.67,5334833.5,931197.75,16787.16,842955.19,108801.95,865980.81,44427.39,1584.43,68996.49,139963.89,28439184,29294.13,250163.81,116973.52,109780.52,19714.18,8852.65,13443.36,15110.52,38462.51,165969.92,1704.38,32561.68,15915.79,110282.23,97426.12,1950739.62,19302.28,22883.61,420975.03,951890.44,8876.04,700938.06,39826,37844.8,896094,5979.23,198678.92,2897.16,67223.27,96901.41,125533.21,279922.53,11645.45,16801.29,6729.35,371246.47,130248.12,26075.71,51385.36,241959.98,621182.06,28440848,31173230,379138.88
